header,summary,content,url,datetime
합리적 투자 필수! 증권사 신용대출 3%대 전환으로 이자 절감,,"전송종목 : 사조동아원, 대덕, 남선알미늄, 서흥, 아남전자최근 주식 투자자들 사이에서 주식대출(미수/신용융자 등)의 고금리에 대한 부담이 커지고 있다.특히 저금리를 적용 받고 싶어도, 기존 대출을 상환하고 다시 주식을 매수해야 하는 번거로운 절차와 자금 조달의 어려움이 발목을 잡고 있다.이런 현실적인 문제를 해결하고자, 무빙스탁이 ‘증권사 신용, 대환자금대출’ 서비스를 전격 출시했다.이 상품은 주식을 매도하지 않고도, 기존의 고금리의 주식대출(미수/신용융자 등)의 3%대의 혁신적인 저금리 증권사로 전환할 수 있도록 상환자금을 제공하는 것이 핵심이다.무빙스탁 관계자는 “현재 증권사 이벤트 금리는 연 3%대 수준으로, 기존 9~10%대 고금리를 적용받는 투자자라면 절감 효과가 상당하다”며, 금리를 5%만 낮추면 “1억원 신용대출 기준으로 연간 약 500만원, 3억원이라면 1,500만원까지도 절약할 수 있다”고 밝혔다.더 놀라운 점은, 현재는 이벤트 기간으로 대환자금대출 신청시 발생하는 이자 비용까지 ‘0원’이라는 사실이다. 대환자금에 대해서 하루의 대출이자도 부담하지 않고 기존 고금리 대출을 저금리로 전환할 수 있어, 고금리 부담에 시달리던 투자자들에게 큰 호응을 얻을 전망이다.이 서비스는 부동산 시장에서 흔히 이용되던 대환대출 개념을 증권시장에 도입한 혁신적인 시도로, 주식 투자자들의 자금 운용에 새로운 대안을 제시할 것으로 기대된다.무빙스탁 ‘증권사 신용, 대환자금대출’의 비용 무료 이벤트는 이벤트 기간 동안 한정적으로 제공되는 만큼, 신용융자를 이용 중인 투자자라면 지금 바로 확인해볼 필요가 있다.★ 장마감 시간이 가까워질수록 문의가 많아 상담이 지연될 수 있습니다.★ 7월 문의하신 고객들이 많이 보유하신 종목으로는 삼성전자, POSCO홀딩스, 셀트리온, 포스코퓨처엠, 에코프로비엠, NAVER, 에코프로, 삼성SDI, LG화학, SK하이닉스, 두산에너빌리티, 카카오, SK이노베이션, LG에너지솔루션, 엘앤에프, 삼천당제약, 현대차, 알테오젠, HPSP, LG전자 등이 있습니다.★ 안내사항과도한 빚은 당신에게 큰 불행을 안겨줄 수 있습니다. 대출 시 신용등급 하락으로 다른 금융거래가 제약받을 수 있습니다. 중개수수료를 요구하거나 받는 것은 불법입니다.상호명: ㈜단비대부 2021-서울영등포-2102(대부업) | TEL: 1544-4886 | 대출금리: 연 20%이내(연체금리는 약정금리+3%p이내, 최대 연 20%이내) | 단, 2021. 7. 7.부터 신규체결, 갱신, 연장되는 계약에 한함 | 채무의 조기상환 조건 및 부대비용 없음. (단, 신용조회비용 및 담보권설정비용 있음), 이자 외 별도로 중개수수료를 요구하거나 수취하는 것은 불법입니다. | 대표이사: 박동원 | 사업자등록번호: 274-86-00231 | 등록기관명칭: 서울 영등포구청(담당부서: 일자리경제과, 02-2670-3420) | 소재지 : 서울 영등포구 여의대방로67길 11, 5층 517호 | 개인정보관리자메일: help@danbifund.co.kr무료상담",https://www.hankyung.com/article/202507108871a,2025.07.10 09:43
,,,https://magazine.hankyung.com/business/article/202507098412b,
전력 인프라 수요 폭증·사우디 수주 잭팟…비에이치아이 고공행진,,"비에이치아이는 최근 글로벌 전력 인프라 시장 호조와 수익성 개선 기대가 맞물리면서 강한 상승 흐름을 이어가고 있다. 우선 전 세계적으로 전력 수요가 급증하는 가운데, 복합화력발전용 HRSG(배열회수보일러)와 보일러 분야에서의 수주잔고가 대폭 늘어난 점이 주가 상승의 핵심 동력이다. 1분기 연결 기준 영업이익은 시장 예상치를 상당히 웃돌았으며, 연간 기준 사상 최대 실적 전망이 나오고 있다.특히 사우디, 중동 지역에서의 대형 HRSG 수주가 ‘잭팟’ 수준으로 이어지며 실적 기반이 한층 강화됐다. 이로 인해 최근 수주잔고는 2조 4천억 원에 육박하며, 안정적인 매출 성장의 원천이 되고 있다. 글로벌 리서치 기관들도 이 같은 호조를 반영해 비에이치아이에 대해 매수 의견을 유지하며, 목표주가를 상향 조정하는 흐름이 나타나고 있다.




 

수급 측면에서는 기관과 외국인의 매수세 유입이 눈에 띈다. 단순한 기술적 반등을 넘어 펀더멘털 강화 기대가 반영된 ‘실질 수요 기반의 주가 상승’이라는 분석이 투자 커뮤니티 중심으로 퍼지고 있다.다만 최근 신한투자증권은, 주가의 추가 상승을 위해서는 영업이익률 지속성 확인과 미국 시장으로의 수주 확대 여부가 중요한 관전 포인트라고 진단했다. 실제로 1분기 영업이익률은 크게 개선됐지만, 이를 하반기에도 유지할 수 있을지가 투자심리 향방을 가를 전망이다.종합하면, 비에이치아이는 전력 인프라 공급 확대, 대규모 중동 수주, 수익성 개선 기대, 투자의견 상향이라는 네 가지 축이 동시에 작용하며 최근 랠리를 이끌고 있다. 향후 실적 추이와 해외 사업 확대 성과가 이어진다면, 중장기적으로도 강세 흐름이 지속될 가능성이 높다는 정설이 시장에 형성되고 있다.하이스틸, 이수페타시스, 비에이치아이, LG에너지솔루션, NAVER무료상담",https://www.hankyung.com/article/202507248614a,2025.07.24 10:23
"한성숙, 네이버 주식 '모두 처분'…스톡옵션 6만주 행사·4만주 포기 [종합]","스톡옵션 행사물량·보유주식 전량 매각
매각 완료하면 네이버 보유 주식 없어
매각대금 170억원 안팎 전망
이해 충돌 가능성 차단 목적","한성숙 중소벤처기업부 장관 후보자가 지난달 26일 서울 영등포구 중소기업기술정보진흥원 수도권평가실에 마련된 인사청문회 준비 사무실로 출근하며 취재진 질문에 답하고 있다. 사진=연합뉴스

                네이버 대표 출신인 한성숙 중소벤처기업부 장관 후보자가 회사로부터 부여받은 주식매수선택권(스톡옵션) 10만주 중 6만주를 행사하기로 했다. 스톡옵션은 취임 시 처분할 예정이다. 한 장관 후보자는 2021년 부여받은 4만주에 대해선 행사를 포기한 것으로 알려졌다.4일 관가와 금융투자업계에 따르면 한 후보자는 보유 중인 네이버 스톡옵션 6만주를 행사하겠다는 신청서를 네이버에 제출했다. 한 후보자가 행사한 스톡옵션은 지난 2019년에 받은 2만주와 지난 2020년에 받은 4만주다. 행사가격을 기준으로 계산하면 모두 100억6000만원 규모로 오는 10일 주식으로 입고된다.앞서 한 후보자는 네이버에서 2019년, 2020년, 2021년 세 차례에 걸쳐 모두 254억4000만원 규모(행사가격 기준)의 10만주의 스톡옵션을 받았다. 스톡옵션은 미리 약정한 가격으로 일정한 기간 내에 매수할 수 있는 권리다. 지난 2019년에 받은 스톡옵션은 2만주로 1주당 13만1000원에, 지난 2020년 받은 4만주는 1주당 18만6000원에 각각 행사할 수 있다.한 후보자는 이번에 주식으로 행사한 스톡옵션 물량 6만주를 장관으로 임명되면 전량 매각한다는 방침을 세웠다. 6만주 물량의 가치는 전날 종가에 판다면 모두 151억8000만원 상당이다.행사가격과 제세공과금 약 12억원을 제외하면 한 후보자는 네이버 스톡옵션을 처분해 39억원 상당의 시세차익을 거둘 전망이다. 시세차익은 실제 처분 시점의 네이버 주가에 따라 더 많아지거나 적어질 수 있으나 최근 주가를 고려하면 40억원 안팎으로 예상된다.한 후보자는 스톡옵션 6만주 외에 현재 보유 중인 네이버 주식 8934주도 역시 장관으로 취임하면 전량 매각할 계획이다. 이에 따라 한 후보자는 장관으로 임명되면 스톡옵션 행사 물량 6만주와 기존 보유 주식 8934주 등 모두 6만8934주를 매각하게 된다. 이는 전날 종가 기준으로 174억원 규모다.반면 한 후보자는 2021년 부여받은 네이버 스톡옵션 4만주에 대해선 행사를 포기하기로 결정했다. 해당 물량은 2024년 3월 24일부터 오는 2029년 3월 23일까지 행사할 수 있는 물량이다. 하지만 주당 행사 가격이 38만4500원으로 전날 네이버 종가 25만3000원보다 비싸다. 스톡옵션 4만주는 행사 가격 기준으로 하면 153억8000만원에 이르지만 실제 주가가 행사 가격에 한참 못 미쳐 오히려 손실을 보게 된다.앞서 한 후보자가 신고 재산 외에 갖고 있다고 알려진 양도제한조건부주식(RSU) 2286주는 행사 기간인 지난 3월까지 행사되지 않아 사실상 사라졌다. 한 후보자는 취임 후 6만8000여주를 처분하면 네이버 주식을 한 주도 보유하지 않게 된다.한 후보자는 중기부 장관으로 공무수행을 하게 되면 발생할 수 있는 이해 충돌 가능성을 방지하기 위해 스톡옵션을 처분하는 것으로 풀이된다. 현행 공직자윤리법은 고위공직자 본인과 이해관계자가 보유한 주식의 총가액이 3000만원을 초과하면 2개월 이내에 주식 매각 또는 백지신탁을 하도록 규정하고 있다. 스톡옵션 자체는 행사 전까지는 미 실현 권리여서 공직자윤리법상 처분 대상이 아니다. 공직자윤리법 외 공직자의 스톡옵션 보유를 제한한 법령은 없다.다만 중기부는 소상공인과 중소기업은 물론 창업·벤처기업 등을 관할하는 부처로 한 후보자가 각종 지원사업을 추진하는 과정에서 네이버와의 이해충돌 논란이 불거질 수 있다. 한 후보자는 2007년부터 네이버 전신인 NHN으로 옮겨 검색품질센터 이사, 네이버 서비스1본부장, 네이버 서비스총괄 이사 등을 지냈다. 2017년부터 2022년까지 5년간 네이버 최고경영자(CEO)를 지냈고 이재명 정부 초대 중기부 장관 후보자로 지명됐다.박수빈 한경닷컴 기자 waterbean@hankyung.com",https://www.hankyung.com/article/202507048339g,2025.07.04 11:45
"AI 기대 선반영 여파…NAVER, 조정 국면 진입",,"NAVER는 최근 AI 중심 성장 기대에 힘입어 단기간 랠리를 펼친 후 조정 국면에 진입했다. 이전에 최고점을 경신하며 시장의 주목을 받았던 상승 흐름은 기대 선반영 부담으로 인해 다소 진정됐다.AI 관련 정책 호재는 여전하다. 최근 정부의 AI 지원 기조가 NAVER의 AI 플랫폼 확대 전략에 긍정적인 영향을 주었다는 분석이 우세하지만, 이러한 기대는 이미 상당 부분 주가에 반영된 상태로 평가된다. 이 때문에 실제 사업 실적과의 괴리가 줄어들 조정 국면이 이어질 여지가 제기된다.시장에서는 투자자 심리 안정 여부를 주목 포인트로 지목한다. 매도 압력이 일시적으로 유입되었지만, AI 관련 매출 회복과 실질적 기술 도입 흐름이 이어질 경우 향후 반등 여지도 상존한다는 시각이 나온다.증권사들은 NAVER의 중장기 AI 사업 성장세에는 여전히 낙관적 시각을 유지하고 있다. 단기 조정 이후 AI·검색·커머스·핀테크 부문의 실적 경쟁력 회복 여부가 평가 기준이 될 것으로 분석하고 있다.결국 NAVER의 최근 조정 흐름은 ▶AI 기대 선반영 부담 ▶사업 실적과의 괴리 축소 시도라는 복합 요인에 의해 형성됐다. 투자자들은 향후 내부자 매도 추이, AI 플랫폼의 실사용 성과, 여러 사업 부문의 실적 회복 여부에 따라 전략적으로 대응할 필요가 있다.케이사인, 달바글로벌, HD현대중공업, 리노공업, HD한국조선해양무료상담",https://www.hankyung.com/article/202507173894a,2025.07.17 13:03
자기자본 포함 4배 투자금을 DSR 무관으로 신청 당일 즉시?,,"투자자들 사이에서 ‘스탁론’에 대한 관심이 높아지고 있다. 스탁론은 자기자본 포함 최대 4배까지 활용 가능하며 증권사 신용/미수 대환 용도로도 활용 가능해 대표적인 레버리지 수단으로 자리잡은 상태다.그러나 DSR 한도가 스탁론에도 적용된 후 다른 대출, 소득 증빙 문제로 예전처럼 이용하기 어려워졌다. 이와 함께 높아진 금리도 스탁론 이용을 망설이게 만든 원인으로 꼽힌다.그러나 해결책은 있다. 21년 연속 스탁론 업계 1위를 지키고 있는 하이스탁론이 DSR 무관하게 이용할 수 있는 상품은 물론 연 4%대 최저금리로 이용 가능한 상품까지 취급하며 선택의 폭을 넓힌 것이다.




 

◆ 하이스탁론, 연 4%대 업계 최저금리로 추가 투자금은 물론 신용미수 대환까지!<하이스탁론>에서 누구나 부담 없이 스탁론을 경험할 수 있도록 연 4%대 최저금리 상품을 출시했다. 주식매입 용도는 물론 증권사 미수/신용 대환도 가능하며 신용등급 차등 없이 자기자본 포함 최대 4배까지 활용할 수 있다.이와 함께 DSR 한도 때문에 기존 스탁론 이용이 어려웠던 투자자들은 위한 DSR 무관 상품도 취급 중이다. 또한 장중 거래가 어려웠던 투자자를 위한 대체거래소(NXT) 거래도 가능해졌다.<하이스탁론>의 새로운 상품에 대해 자세히 알고 싶은 투자자는 고객상담센터(1599-0313)로 연락하면 대출 여부와 상관없이 24시간 언제든 전문상담원과 편리한 상담이 가능하다.○ 연 4%대 업계 최저금리 상품 출시○ 대체거래소(NXT) 거래 가능!○ 21년 연속 시장 점유율 1위, 16년 연속 대한민국퍼스트브랜드 대상○ 증권사 신용/미수 실시간 상환, 한종목 100% 집중 투자○ 믿을 수 있는 상담품질보증제※하이스탁론상담센터 : 1599-0313바로가기:https://www.hisl.co.kr/0313◆ 현 시각 관심종목 Top 10 : 삼성전자, NAVER, 한국전력, LG씨엔에스, 한국가스공사, 한화시스템, 에르코스, 더즌, 파세코, JB금융지주무료상담",https://www.hankyung.com/article/202507071641a,2025.07.08 09:30
"네이버, 차세대 격전 준비…""XR 콘텐츠 생태계 구축""","미디어 플랫폼 테크 포럼

웹, 모바일 변화 살아남은 저력
5년 전부터 차세대 플랫폼 대비
스트리밍 실험 통해 경험 쌓아

신형 XR 내놓는 삼성과 협업
""홀로그램 등 신기술도 개발 중""","네이버의 가상 콘텐츠 제작 스튜디오 비전·모션스테이지에서 광학식 슈트를 착용한 직원이 3차원(3D) 애니메이션 구현을 시연하고 있다. 스튜디오에 설치된 적외선 카메라와 슈트에 장착된 전자 센서가 손가락 움직임과 얼굴 표정까지 정밀하게 포착해 캐릭터를 실시간으로 만들어낸다. ﻿ /네이버 제공

                네이버가 확장현실(XR) 콘텐츠 시장에 본격 참전한다. 삼성전자가 연내 선보일 첫 XR 기기 ‘프로젝트 무한’에 담을 콘텐츠를 생산하는 것이 우선 목표다. 웹(컴퓨터)에서 모바일(스마트폰)로의 전환 과정에서 성공적으로 살아남은 네이버가 차세대 하드웨어 시장에서도 소프트웨어와 콘텐츠를 중심으로 생존력을 증명하려는 시도로 풀이된다.네이버는 경기 성남시 네이버 사옥에서 지난 16일 ‘이머시브 미디어 플랫폼 테크 포럼’을 열었다. 언론을 대상으로 XR 플랫폼 전략과 차세대 미디어 기술을 공개하기 위한 자리다. 17일 네이버 관계자는 “생성형 인공지능(AI)과 실시간 3차원(3D) 렌더링 기술을 기반으로 가상현실(VR), 증강현실(AR), 혼합현실(MR)을 아우르는 XR 콘텐츠 생태계를 구축하는 것이 최종 목표”라고 설명했다.





                스마트글라스와 VR 헤드셋으로 대표되는 XR 기기는 스마트폰을 잇는 새로운 하드웨어 플랫폼으로 부상하고 있다. 메타는 2019년 첫 VR 헤드셋 ‘퀘스트’를 출시했다. 당시 마크 저커버그 메타 최고경영자(CEO)는 VR 헤드셋을 ‘차세대 컴퓨팅 플랫폼’이라고 선언했다. 지난해 10월에는 AI 기능을 적용한 ‘퀘스트3S’를 선보였다.구글은 삼성전자, 젠틀몬스터와 협업해 안드로이드 기반 XR 기기를 내놓을 예정이다. 삼성은 구글, 퀄컴과 협업한 또 다른 XR 제품도 준비 중이다. 노태문 삼성전자 사장은 9일 뉴욕에서 열린 기자간담회에서 “연내 XR 헤드셋 출시를 목표로 완성도를 높이고 있다”고 밝혔다.네이버는 삼성의 신제품 출시에 발맞춰 XR 기반의 콘텐츠 플랫폼을 구축할 계획이다. 오한기 네이버 리얼타임 엔진 스튜디오 리더는 “네이버 스트리밍 플랫폼 ‘치지직’을 중심으로 다양한 콘텐츠를 제공할 것”이라며 “네이버가 보유한 고품질 콘텐츠가 원활히 구현될 수 있도록 현재 여러 글로벌 기업과 협업 방안을 논의하고 있다”고 말했다. XR 콘텐츠 시장엔 메타, 구글 등 하드웨어 제조사뿐만 아니라 유니티 같은 게임 엔진 개발사도 앞다퉈 뛰어들고 있다. 시장조사업체 포천비즈니스인사이트는 글로벌 XR 시장 규모가 2024년 1840억달러에서 2032년 1조6250억달러로 커질 것으로 전망했다.네이버는 영상 소비와 제작의 패러다임이 빠르게 바뀌고 있다는 판단 아래 새로운 방식의 콘텐츠 제작을 준비해왔다. 2020년부터 몰입형 미디어 기술 개발에 착수해 2022년 ‘이머시브 미디어 랩’을 설립했다. 지난 3월엔 XR 콘텐츠 제작 전용 스튜디오 ‘비전·모션 스테이지’를 선보였다. 이 같은 인프라 구축을 바탕으로 치지직의 다양한 창작자와 협업해 XR 콘텐츠 생태계를 만들어가고 있다.네이버 관계자는 “몰입형 오디오 등을 결합해 홀로그램처럼 실감 나는 콘텐츠 경험을 구현할 수 있도록 기술을 개발 중”이라고 말했다. 오 리더는 “실제 인물에서 가상 캐릭터로, 일방향 콘텐츠에서 상호 몰입형 콘텐츠로, 평면 영상에서 XR로 미디어 경험이 빠르게 진화하고 있다”고 덧붙였다.최영총 기자 youngchoi@hankyung.com",https://www.hankyung.com/article/2025071753581,2025.07.17 17:19
"코스피, 대내외 훈풍에 3100선 안착 시도…외인·기관 '사자'","李, 탈플라스틱 로드맵 연내 마련 소식에
삼륭물산·에코플라스틱 등 관련株 '급등'","사진=연합뉴스

                코스피지수가 3일 외국인과 기관투자자의 쌍끌이 매수에 힘입어 강세 흐름을 이어가고 있다. 미국과 베트남 간 무역 합의에 더해 상법 개정안 처리 기대가 긍정적 투자심리를 형성한 것으로 풀이된다.이날 오전 10시59분 현재 코스피지수는 전 거래일보다 22.84포인트(0.74%) 오른 3097.9를 나타내고 있다. 장중 1.17%까지 상승폭을 확대해 3100선을 회복하기도 했다.간밤 미국 증시에서도 S&P500지수가 0.47% 올라 사상 최고가를 경신했고 나스닥종합지수도 0.94% 상승하는 등 긍정적 흐름이 관찰됐다. 미국이 베트남과 무역 협상을 타결하자 관세 불확실성이 일부 줄어든 데 따른 영향으로 풀이된다.유가증권시장에서 외국인과 기관이 각각 2694억원과 1563억원어치를 사들이며 지수 상승을 이끌고 있다. 반면 개인만 4566억원어치를 팔아치우고 있다.코스피 시가총액 상위 종목 중 삼성전자, LG에너지솔루션, 삼성바이오로직스, KB금융, 두산에너빌리티, 네이버, 한화에어로스페이스 등이 오르는 반면 SK하이닉스, 기아, 셀트리온, HD현대중공업 등이 내리고 있다.같은 시각 코스닥지수는 전 거래일보다 8.27포인트(1.06%) 오른 790.44를 나타내고 있다. 코스닥시장에서도 외국인과 기관이 각각 452억원과 117억원어치를 사들이는 반면 개인이 530억원어치를 팔아치우고 있다.코스닥 시총 상위 종목 중 에코프로비엠, 에코프로, 파마리서치, 리가켐바이오, 휴젤, 펩트론, 클래시스, 리노공업 등이 오르는 반면 알테오젠, HLB 등은 내리고 있다.이재명 대통령이 이날 탈플라스틱 로드맵을 올해 안에 마련하겠다고 밝히자 상한가를 달성한 삼륭물산을 비롯해 에코플라스틱(18.93%) 세림B&G(12.47%) 한국팩키지(11.25%) 등 관련주가 급등세다. 고정삼 한경닷컴 기자 jsk@hankyung.com",https://www.hankyung.com/article/2025070357706,2025.07.03 11:14
'이럴 수가' 네이버 4000억 팔아 치운 외국인…개미들 '멘붕' [종목+],"外人 매도 폭탄에 휘청이는 네이버
외국인, 이달 4000억 순매도","사진=게티이미지뱅크 

                정부의 인공지능(AI) 정책 기대로 급등하던 네이버 주가가 외국인 투자자의 매도세에 휘청이고 있다.





                18일 유가증권시장에서 네이버는 0.62% 내린 24만2000원에 거래를 마쳤다. 지난달 말 고점 대비 16.3% 하락했다. 원화 기반 스테이블코인 도입과 AI 정책 수혜 기대에 급등했다가 차익실현 매물이 쏟아지자 내리막길을 걷고 있다.외국인의 대규모 매도세가 주가를 끌어내렸다. 한국거래소에 따르면 외국인이 이달 들어 전날까지 가장 많이 순매도한 종목은 네이버다. 이 기간에만 3989억원어치를 순매도했다.최근 외국계 투자은행을 중심으로 부정적인 전망이 나온 게 매도세를 부추겼다는 분석이 많다. 글로벌 투자은행 골드만삭스는 지난 16일 네이버의 투자 의견을 ‘매수’에서 ‘중립’으로 조정했다. 목표주가는 33만원에서 28만원으로 내렸다. 카카오톡이 생성형 인공지능(AI) 서비스를 도입하면 네이버의 핵심 수익원인 검색 부문의 경쟁력이 약해질 것이라는 이유에서다. 그러면서 카카오의 투자 의견은 ‘매수’로 제시했다.정부의 AI 정책이 구체화하면 직접적인 수혜를 누릴 수 있는 만큼 주가 상승 여력이 크다는 전망도 있다. 최승호 DS투자증권 연구원은 “이재명 정부는 소버린(주권) AI에 대한 투자를 강조하고 있다”며 “네이버도 소버린 AI를 강조해 정부의 전략과 방향이 일치하는 데다 AI 측면에서도 경쟁사 대비 풍부한 데이터를 갖고 있다”고 했다.맹진규 기자 maeng@hankyung.com",https://www.hankyung.com/article/2025071877971,2025.07.18 17:25
"송도 총격 사건 여파?…김남길 주연 '트리거' 측 ""라이브 취소"" [공식]",,"/사진=넷플릭스 

                넷플릭스 오리지널 시리즈 트리거 측이 예정됐던 팬 이벤트 생중계를 돌연 취소했다.  넷플릭스 측은 21일 한경닷컴에 ""오는 22일 진행될 예정이었던 생중계 라이브는 취소한다""며 ""다만 사전 신청된 팬들과의 오프라인 이벤트는 예정대로 진행된다""고 밝혔다.'트리거'는 총기 청정국 대한민국에서 출처를 알 수 없는 불법 총기가 배달되고 총기 사건이 끊임없이 발생하는 가운데 각자의 이유로 총을 든 두 남자의 이야기를 그린 총기 재난 액션 스릴러 시리즈다. 배우 김남길과 김영광이 주연을 맡았다.당초 '트리거' 측은 오는 22일 오후 7시 30분 김남길과 김영광이 참석하는 '트리거' Talk&Shot 팬 이벤트를 네이버 치지직을 통해 생중계할 예정이었다. 하지만 네이버 엔터는 21일 ""본 라이브는 주최사 측의 요청으로 생중계가 취소됐다""며 ""기다려주신 모든 분들께 양해 부탁드리며 너른 이해에 감사드린다""고 전했다.
                    



/사진=넷플릭스 

                넷플릭스 측은 생중계 취소와 관련해 구체적인 사유를 공식적으로 밝히지 않았으나, 일각에서는 '트리거'가 총기 재난 액션을 표방하고 있는 만큼, 최근 발생한 송도 총격 사건과의 시기적 연관성과 국민 정서를 고려한 결정이라는 해석이 나오고 있다.한편 전날 밤 9시 30분경 인천 연수구 송도동의 한 아파트 33층 자택에서 60대 남성 A씨가 사제 총기를 사용해 자신의 아들 B씨를 살해하는 사건이 발생했다. 범행 직후 도주한 A씨는 서울 도봉구에서 체포돼 인천으로 압송됐다.수사 결과 A씨의 자택에서는 점화장치와 연결된 폭발물 15개가 발견됐고, 그의 차량에서는 사제총기 외에도 추가 총기 부품과 실탄이 다량 발견되면서 사회적 충격을 안겼다. 경찰은 ""가족 간 불화가 범행 동기였으며, A씨가 파이프를 절단해 총기를 제작한 것으로 보인다""고 밝혔다.김예랑 한경닷컴 기자 yesrang@hankyung.com",https://www.hankyung.com/article/2025072127187,2025.07.21 18:12
