header,summary,content,url,datetime
내수·수출 동반 부진에…한국경제 ‘절대 수요 부족’ 경고,,"한국개발연구원(KDI)이 2025년 7월 경제동향을 발표했다. 최근 건설업 부진이 이어지는 가운데, 대외 여건도 악화하며 경기가 전월과 비슷한 수준에서 정체되고 있다. 이로 인해 소비·투자·건설이 동반 침체 양상을 띠고 있으며, 경기 회복의 뚜렷한 모멘텀도 보이지 않는다는 분석이다.특히 현대경제연구원은 2025년 한국 연간 경제성장률 전망치를 기존 1.7%에서 0.7%로 1.0%포인트나 하향 조정했다. 수정 전망의 주요 원인은 내수부진 장기화와 수출경기 둔화다. 고금리·고물가에 따른 소비심리 위축, 건설투자 침체가 민간 회복력을 약화시키고 있다. 수출환경 개선이 없이는 내수 회복 동력 확보도 어렵다는 점이 우려를 키운다.이처럼 내수와 수출 모두 뚜렷한 반등이 없는 상황에서 한국 경제는 당분간 ‘절대 수요 부족’ 국면을 벗어나기 어려울 것으로 보인다. KDI 등은 내수회복, 수출환경 개선, 정책 대응 없이는 상반기형 경기둔화가 장기화할 가능성을 경고했다.이에 따라 경제 정책 당국은 민간 소비와 투자 회복을 위한 적극적 재정․금융 지원, 건설·설비투자 활성화책 등에 보다 집중할 필요가 있다. 단지 인위적 경기 부양이 아닌, 내수와 수출을 동시 강화할 수 있는 전략적 대응이 중요한 시점이다.아우토크립트, SK하이닉스, 삼성전자, 두산에너빌리티, 한국전력무료상담",https://www.hankyung.com/article/202507158441a,2025.07.15 10:03
합리적 투자 필수! 증권사 신용대출 3%대 전환으로 이자 절감,,"전송종목 : 사조동아원, 대덕, 남선알미늄, 서흥, 아남전자최근 주식 투자자들 사이에서 주식대출(미수/신용융자 등)의 고금리에 대한 부담이 커지고 있다.특히 저금리를 적용 받고 싶어도, 기존 대출을 상환하고 다시 주식을 매수해야 하는 번거로운 절차와 자금 조달의 어려움이 발목을 잡고 있다.이런 현실적인 문제를 해결하고자, 무빙스탁이 ‘증권사 신용, 대환자금대출’ 서비스를 전격 출시했다.이 상품은 주식을 매도하지 않고도, 기존의 고금리의 주식대출(미수/신용융자 등)의 3%대의 혁신적인 저금리 증권사로 전환할 수 있도록 상환자금을 제공하는 것이 핵심이다.무빙스탁 관계자는 “현재 증권사 이벤트 금리는 연 3%대 수준으로, 기존 9~10%대 고금리를 적용받는 투자자라면 절감 효과가 상당하다”며, 금리를 5%만 낮추면 “1억원 신용대출 기준으로 연간 약 500만원, 3억원이라면 1,500만원까지도 절약할 수 있다”고 밝혔다.더 놀라운 점은, 현재는 이벤트 기간으로 대환자금대출 신청시 발생하는 이자 비용까지 ‘0원’이라는 사실이다. 대환자금에 대해서 하루의 대출이자도 부담하지 않고 기존 고금리 대출을 저금리로 전환할 수 있어, 고금리 부담에 시달리던 투자자들에게 큰 호응을 얻을 전망이다.이 서비스는 부동산 시장에서 흔히 이용되던 대환대출 개념을 증권시장에 도입한 혁신적인 시도로, 주식 투자자들의 자금 운용에 새로운 대안을 제시할 것으로 기대된다.무빙스탁 ‘증권사 신용, 대환자금대출’의 비용 무료 이벤트는 이벤트 기간 동안 한정적으로 제공되는 만큼, 신용융자를 이용 중인 투자자라면 지금 바로 확인해볼 필요가 있다.★ 장마감 시간이 가까워질수록 문의가 많아 상담이 지연될 수 있습니다.★ 7월 문의하신 고객들이 많이 보유하신 종목으로는 삼성전자, POSCO홀딩스, 셀트리온, 포스코퓨처엠, 에코프로비엠, NAVER, 에코프로, 삼성SDI, LG화학, SK하이닉스, 두산에너빌리티, 카카오, SK이노베이션, LG에너지솔루션, 엘앤에프, 삼천당제약, 현대차, 알테오젠, HPSP, LG전자 등이 있습니다.★ 안내사항과도한 빚은 당신에게 큰 불행을 안겨줄 수 있습니다. 대출 시 신용등급 하락으로 다른 금융거래가 제약받을 수 있습니다. 중개수수료를 요구하거나 받는 것은 불법입니다.상호명: ㈜단비대부 2021-서울영등포-2102(대부업) | TEL: 1544-4886 | 대출금리: 연 20%이내(연체금리는 약정금리+3%p이내, 최대 연 20%이내) | 단, 2021. 7. 7.부터 신규체결, 갱신, 연장되는 계약에 한함 | 채무의 조기상환 조건 및 부대비용 없음. (단, 신용조회비용 및 담보권설정비용 있음), 이자 외 별도로 중개수수료를 요구하거나 수취하는 것은 불법입니다. | 대표이사: 박동원 | 사업자등록번호: 274-86-00231 | 등록기관명칭: 서울 영등포구청(담당부서: 일자리경제과, 02-2670-3420) | 소재지 : 서울 영등포구 여의대방로67길 11, 5층 517호 | 개인정보관리자메일: help@danbifund.co.kr무료상담",https://www.hankyung.com/article/202507108871a,2025.07.10 09:43
,,,https://magazine.hankyung.com/business/article/202507098412b,
엔비디아 4조 돌파에 SK하이닉스 덩달아 강세… 다음 수혜주는?,,"자사주 소각 의무화 상법 개정안 기대감에 연이은 강세를 보이는 요즘에는 개인투자자들이 쉽사리 갈피를 못잡는 경우가 많다. 요즘처럼 방향을 잡아줄 확실한 나침반의 역할이 필요하다면 매일 무료종목과 시황, 대응전략을 제공하는 불새 전문가가 필요할 때다.“불새와 함께라면, 상한가는 남의 얘기가 아닙니다.”




 

👉 애경케미칼, 콜마홀딩스 적중의 비밀 확인! (클릭)한국증시의 다양한 대내외 변수 속에서도 높은 수익률과 압도적인 종목 적중률로 단숨에 개인투자자들의 주목을 받는 ‘불새’ 전문가!특히 화제가 되는 건 “내일의 상한가가 미리 보인다”는 평가.불새는 매일 아침 시황 분석, 이슈 정리, 유망 테마 종목, 그리고 핵심 진입 타이밍까지 친절하게 짚어준다. 초보자도 이해할 수 있을 정도로 쉬운 해설에 더해, 결과는 놀라울 정도로 정확하다는 평이다.✅ 정책 테마의 중심에서 상한가를 선점하고 싶다면? 지금 확인!(클릭)무엇보다 놀라운 점은, 이 모든 정보가 100% 무료라는 사실.불새가 운영 중인 텔레그램 채널에 입장만 하면, 아무 조건 없이 매일 고퀄리티 정보를 받아볼 수 있다.👉 내일의 상한가 종목, 입장만 하면 바로 확인 가능! (클릭)ㅤ-최근 핫이슈 종목퓨쳐켐, 미트박스, 티사이언티픽,두산퓨얼셀,미래에셋증권무료상담",https://www.hankyung.com/article/202507109844a,2025.07.11 11:40
"[속보] 코스피, 장중 3100선 회복",,"사진=뉴스1

                코스피가 8일 장중 3100선을 회복했다.이날 오전 9시26분 현재 코스피는 전일 대비 43.25포인트(1.41%) 오른 3102.72에 거래되고 있다.오전 9시23분께 3100선을 회복했다.기관이 유가증권시장에서 1210억원어치 현물주식을 순매수하며 지수 상승을 이끌고 있다. 기관의 매수세는 외국인이 코스피200선물을 4712억원어치 순매수하는 데서 비롯된 것으로 보인다. 외국인은 현물주식은 183억원어치 팔고 있다. 개인의 매도 규모가 873억원으로 가장 크다.삼성전자가 어닝 쇼크에도 보합세로 버티고 있으며, SK하이닉스는 3.14% 상승 중이다.KB금융과 두산에너빌리티는 각각 4.2%와 4.29% 상승하고 있다.한경우 한경닷컴 기자 case@hankyung.com",https://www.hankyung.com/article/2025070840616,2025.07.08 09:29
"최태원 ""새 정부 리더십 기대…민관 원팀 돼야 잃어버린 10년 극복""","대한상의 하계포럼 간담회서 '제조업 전략' 강조

韓 제조업, AI로 일으키지 못하면
10년 안에 대부분 기업 퇴출될 것

韓, 수출 호황만 믿고 전략 부재
中, 중간재까지 만들며 턱밑 추격

""소각 의무되면 자사주 사겠나""  
상법개정안에는 우려 목소리
원전 포함한 CF100이 현실적
'제2 HBM' 베스트셀러 개발중","최태원 대한상공회의소 회장이 지난 17일 경북 경주 힐튼호텔에서 열린 기자간담회에서 질문에 답하고 있다.  대한상의 제공

                “정부와 기업이 ‘원팀’이 돼야 ‘잃어버린 제조업 10년’에서 벗어날 수 있습니다.”최태원 대한상공회의소 회장(SK그룹 회장)은 지난 17일 경북 경주에서 열린 대한상의 하계포럼 기자간담회에서 “새 정부가 (한국 경제를 끌어올릴) 리더십을 발휘하면 기업들도 적극적으로 돕겠다”며 이렇게 말했다.최 회장은 한국 제조업의 현실에 대해 “전략의 부재가 빚어낸 잃어버린 10년”이라고 규정했다. 그는 “중국이 성장 가도를 달리자 중간재를 중국에 판매하는 한국 제조업도 호황을 맞았고, 당장 돈벌이가 되니 별다른 전략을 세우지 않았다”며 “이제 중국이 중간재까지 만들자 한국 제조업은 갈 곳을 잃고 노화 상태에 빠졌다”고 설명했다. 그러면서 “석유화학은 제조시설이 낡은 탓에 중국은 물론 인도에도 밀리고, 반도체의 경우 미국의 제재가 중국의 자생력 키워주는 꼴이 돼 우리 턱밑까지 쫓아오는 결과를 낳았다”며 “AI로 다시 일으키지 못하면 한국 제조업은 10년 안에 상당 부분 퇴출될 수 있다”고 경고했다.최 회장은 한국 제조업이 다시 일어설 수 있는 방법으로 인공지능(AI)을 꼽았다. AI를 통해 경쟁력을 끌어올려야 한국 제조업이 글로벌 무대에 다시 올라설 수 있다는 의미다. 그는 제조업 AI를 키우기 위한 첫 번째 과제로 AI 인재 육성을 꼽았다. AI를 개발하고 현실에 적용할 ‘사람’이 있어야 관련 산업을 키울 수 있다는 이유에서다. 최 회장은 “최근 이재명 대통령과 만난 자리에서 AI를 대학 필수과목에 넣자고 건의했다”고 했다.두 번째는 AI 시장 조성이다. 그는 “정부에 AI 시장을 만들어달라고 부탁했다”며 “정부와 공공이 AI 프로젝트를 쏟아내야 스타트업들이 달려들고, 그 과정에서 전문가가 나온다”며 “현재 1000개 정도인 AI 스타트업이 2만 개 정도로 늘어야 과거 벤처붐처럼 AI붐을 일으킬 수 있다”고 강조했다.최 회장은 마지막 과제로 데이터 공유 등 일본과의 협업을 들었다. 그는 “AI 경쟁력은 질 좋은 데이터를 얼마나 많이 확보하느냐에 달려 있다”며 “5000만 인구로는 14억 인구 대국 중국과 상대할 수 없다. 일본과 손잡고 서로 제조업 데이터를 교환·축적하면 그나마 경쟁력을 갖출 수 있을 것”이라고 설명했다.최 회장은 정부와 여당이 추진하는 상법 개정안과 노동조합법 개정안(노란봉투법)에 대한 입장도 내놨다. 상법 개정안과 관련해선 “많은 사람이 원한다면 받아들여야 하지 않겠나”면서도 “다만 기업들이 여러 이유로 자사주를 활용하기 위해 매입했는데, 자사주 의무 소각이 현실화하면 과연 기업들이 자사주를 살지 의문”이라고 말했다. 하도급 노동자에 대한 원청 기업의 책임을 강화하는 등의 내용이 담긴 노란봉투법에 대해선 “(기업 상황과 노동계 현황 등을 면밀히 검토해) 천천히 하면 좋겠다”고 했다.최 회장은 “새 정부가 ‘친기업 정부’라고 강조하는 만큼 (기업 입장에서) 나쁜 것만 하리라고 생각하지는 않는다”며 “기업이 한 뼘 더 성장할 수 있도록 규제를 없애거나 새로운 지원책을 만드는 것도 필요하다”고 강조했다.정부가 2050년까지 재생에너지만 100% 쓰는 ‘RE100 산업단지’를 조성하기로 한 것에는 부정적인 입장을 내놨다. 그는 “해외 빅테크도 대부분 RE100을 포기했다”며 “아무리 취지가 좋아도 에너지값이 너무 비싸면 사업을 할 수 없기 때문”이라고 했다. 그러면서 “환경과 에너지 가격을 함께 고려해야 하는데, 지금은 따로 놀고 있는 느낌”이라며 “원자력발전 등도 친환경에너지에 넣는 방법을 고려해야 한다”고 강조했다. 친환경에너지에 원전을 포함하는 CF100을 RE100의 대안으로 언급한 것이다.SK그룹에 대한 언급도 빼놓지 않았다. 그는 SK하이닉스가 ‘제2의 고대역폭메모리(HBM)’ 같은 베스트셀러를 개발하고 있다고 소개했다. 그는 “HBM이 유명해진 건 최근 일이지만, 이미 10여 년 전 세상에 나왔다”며 “어떤 제품이 미래에 대세가 될지 모를 뿐 SK에는 지금도 이런 제품들이 수두룩하다”고 했다. 최근 골드만삭스가 HBM의 경쟁 심화와 가격 하락을 예상한 보고서를 내놓은 것에는 “범용 HBM과 AI용 HBM은 완전히 다른 제품이라 경기 사이클도 다르다”며 “HBM4부터는 고객별 맞춤형으로 제작하는 만큼 HBM 시장은 더욱더 분화될 것”이라고 말했다.경주=김재후 기자 hu@hankyung.com",https://www.hankyung.com/article/2025072000881,2025.07.20 17:55
"삼성전자 반도체, 2분기 '바닥' 찍었나…하반기 반등 해법은",,"DS부문, 2분기 영업익 2조원대 전망…낸드·파운드리 '부진'SK하이닉스, 올 상반기 삼성전자 전체 영업이익 추월 유력HBM 공급·낸드 회복 과제 산적…파운드리는 '내실다지기'SK하이닉스가 지난 4분기에 이어 올해 상반기(1∼2분기)에도 삼성전자 전체 영업이익을 추월할 가능성이 커지고 있다.고대역폭 메모리(HBM) 시장에서 SK하이닉스가 크게 선전하고 있는 반면, 1분기 출시한 갤럭시S25 시리즈의 신제품 효과가 줄고 전체 실적의 50∼60%를 견인해 온 메모리 사업도 힘을 쓰지 못한 영향으로 풀이된다.이에 메모리 경쟁력 복원과 고전 중인 파운드리(반도체 위탁생산) 사업을 되살릴 해법에 업계 이목이 쏠린다.
                    




                6일 업계에 따르면 삼성전자는 오는 8일 2분기 잠정실적을 발표한다.연합인포맥스가 최근 1개월 내 보고서를 낸 증권사 15곳의 실적 컨센서스(전망치)를 집계한 결과, 삼성전자의 올해 2분기 매출과 영업이익은 각각 75조4천796억원, 6조344억원으로 관측된다.잠정 발표에서는 사업부별 세부 실적이 공개되지 않지만, 증권가에서는 반도체 사업을 담당하는 디바이스솔루션(DS)부문의 매출을 26조∼28조원, 영업이익을 1조7천억∼2조6천억원으로 추산한다.지난 1분기 DS부문 영업이익(1조1천억원) 대비 2배 이상의 성장이다.시장에서는 파운드리·시스템LSI가 여전히 분기마다 수조원대 적자를 내고 있지만, D램의 수요 회복·가격 상승 덕에 메모리 사업이 그나마 선방했을 것으로 보고 있다.DS부문 내 메모리 사업의 2분기 매출과 영업이익은 각각 20조∼22조원, 3조3천억∼4조6천억원으로 추정된다.하지만 SK하이닉스와의 격차는 2분기에도 벌어질 전망이다.HBM 1등 지위를 가진 SK하이닉스는 올해 2분기 9조원에 가까운 영업이익을 낼 것으로 관측된다.여기에 1분기 영업이익(7조4천405억원)을 더하면 SK하이닉스는 올해 상반기 총 16조원 이상의 영업이익을 기록할 것으로 점쳐진다.같은 기간 12조원 정도로 예상되는 삼성전자 전사 영업이익 추월도 유력하다.앞서 지난해 4분기 8조828억원 영업이익을 달성한 SK하이닉스는 삼성전자 전사 영업이익(6조4천927억원)을 처음 넘어선 바 있다.
                    




                이제 업계 관심은 삼성전자 하반기 전략을 향하고 있다.삼성전자는 올해 하반기 D램·낸드 등 메모리 경쟁력 회복과 파운드리·시스템LSI 적자 폭 축소에 주력할 방침이다.낸드 부문 실적은 최종 고객들의 재고 비축과 수요 감소, 가격 하락 등으로 1분기 저점을 찍고, 2분기부터 회복 국면에 접어들었다.삼성전자는 낸드 감산 기조를 유지하고 기업용 솔리드 스테이트 드라이브(SSD) 등 고부가 제품에 집중할 계획이다.HBM에서는 HBM3E(5세대) 12단 제품의 엔비디아 공급 타진에 나서는 한편, HBM4(6세대) 양산도 하반기를 목표로 서두른다.최근 삼성전자가 미국 빅테크 AMD, 브로드컴에 최신 HBM3E를 공급하는 등 HBM에서 성과가 나타나고 있어 엔비디아 공급망 합류에 대한 시장 기대도 커진 상태다.이와 관련 전영현 DS부문장(부회장)과 주요 경영진들은 지난달 공급 협상을 위해 엔비디아 미국 본사를 찾은 것으로도 알려졌다.또 삼성전자는 지난달 말 10㎚(나노미터·10억분의 1m)급 6세대(1c) D램의 PRA(양산 준비 승인)도 마쳤다.이에 따라 1c D램으로 양산되는 HBM4 코어다이 양산에도 속도가 붙을 전망이다.
                    




                파운드리·시스템LSI는 '내실 다지기'를 통해 기술 경쟁력 확보와 고객 유치에 전념한다는 목표다.파운드리의 경우 연말 반도체 칩에 적용 예정인 첨단 2나노 공정에 주력한다.28나노 이상 레거시(성숙) 공정도 강화한다.최첨단 1.4나노의 공정 로드맵은 기존 2027년에서 2029년으로 수정된 것으로 전해졌다.파운드리 업체 간 경쟁이 치열해진 만큼 단순 속도전보다는 내실과 안정에 무게를 두겠다는 의도다.트렌드포스에 따르면 올해 1분기 삼성전자의 파운드리 점유율은 7.7%로 작년 4분기보다 0.4%포인트 하락했다.이 기간 업계 1위 대만 TSMC(67.6%)와의 격차는 더 확대됐고 중국 SMIC(6%)와는 좁혀지며 어려운 상황이 지속 중이다.한진만 DS부문 파운드리사업부장(사장)은 지난해 말 임직원 메시지를 통해 2나노 공정의 빠른 램프업(생산량 확대)을 핵심 과제로 꼽았다.그러면서 ""단기간 메이저 파운드리 업체를 따라잡을 수는 없겠지만, 현장에서 영업과 기술을 지원하는 분들이 자신 있게 우리 파운드리 서비스를 제공할 수 있도록 기술 경쟁력을 찾아가자""고 강조했다.시스템LSI는 이달 초 공개되는 삼성전자 폴더블 스마트폰 '갤럭시 Z7 플립'에 탑재될 자사 애플리케이션 프로세서(AP) '엑시노스 2500'을 포함해 연말 양산 예정인 엑시노스 2600 등 향후 프로젝트에 집중할 것으로 보인다./연합뉴스",https://www.hankyung.com/article/202507060255Y,2025.07.06 07:41
"코스피, 대내외 훈풍에 3100선 안착 시도…외인·기관 '사자'","李, 탈플라스틱 로드맵 연내 마련 소식에
삼륭물산·에코플라스틱 등 관련株 '급등'","사진=연합뉴스

                코스피지수가 3일 외국인과 기관투자자의 쌍끌이 매수에 힘입어 강세 흐름을 이어가고 있다. 미국과 베트남 간 무역 합의에 더해 상법 개정안 처리 기대가 긍정적 투자심리를 형성한 것으로 풀이된다.이날 오전 10시59분 현재 코스피지수는 전 거래일보다 22.84포인트(0.74%) 오른 3097.9를 나타내고 있다. 장중 1.17%까지 상승폭을 확대해 3100선을 회복하기도 했다.간밤 미국 증시에서도 S&P500지수가 0.47% 올라 사상 최고가를 경신했고 나스닥종합지수도 0.94% 상승하는 등 긍정적 흐름이 관찰됐다. 미국이 베트남과 무역 협상을 타결하자 관세 불확실성이 일부 줄어든 데 따른 영향으로 풀이된다.유가증권시장에서 외국인과 기관이 각각 2694억원과 1563억원어치를 사들이며 지수 상승을 이끌고 있다. 반면 개인만 4566억원어치를 팔아치우고 있다.코스피 시가총액 상위 종목 중 삼성전자, LG에너지솔루션, 삼성바이오로직스, KB금융, 두산에너빌리티, 네이버, 한화에어로스페이스 등이 오르는 반면 SK하이닉스, 기아, 셀트리온, HD현대중공업 등이 내리고 있다.같은 시각 코스닥지수는 전 거래일보다 8.27포인트(1.06%) 오른 790.44를 나타내고 있다. 코스닥시장에서도 외국인과 기관이 각각 452억원과 117억원어치를 사들이는 반면 개인이 530억원어치를 팔아치우고 있다.코스닥 시총 상위 종목 중 에코프로비엠, 에코프로, 파마리서치, 리가켐바이오, 휴젤, 펩트론, 클래시스, 리노공업 등이 오르는 반면 알테오젠, HLB 등은 내리고 있다.이재명 대통령이 이날 탈플라스틱 로드맵을 올해 안에 마련하겠다고 밝히자 상한가를 달성한 삼륭물산을 비롯해 에코플라스틱(18.93%) 세림B&G(12.47%) 한국팩키지(11.25%) 등 관련주가 급등세다. 고정삼 한경닷컴 기자 jsk@hankyung.com",https://www.hankyung.com/article/2025070357706,2025.07.03 11:14
,,,https://magazine.hankyung.com/job-joy/article/202507012386d,
"11일, 거래소 기관 순매도상위에 전기,전자 업종 3종목",,"기관 투자자는 11일 거래소에서 SK하이닉스, KODEX 레버리지, KODEX 200타겟위클리커버드콜 등을 중점적으로 매도한 것으로 나타났다.기관 투자자의 순매도 상위 20개 종목은 SK하이닉스, KODEX 레버리지, KODEX 200타겟위클리커버드콜, 두산, 현대로템, KODEX 200, 하이브, 두산에너빌리티, 한화솔루션, 한국전력등이다.이중에 전기,전자 업종에 속한 종목이 3개 포함되어 있다.KODEX 레버리지, KODEX 200, 한화솔루션 등은 전일 대비 주가가 상승했고, SK하이닉스, KODEX 200타겟위클리커버드콜, 두산 등은 주가가 하락했다.[07월11일]거래소 기관 순매도 상위 종목한경로보뉴스이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.",https://www.hankyung.com/article/202507113486L,2025.07.11 18:35
