,article,title,link,summary,stock
0,삼성전자_1,"<b>삼성전자</b>, 코엑스서 아티스트 장 줄리앙과 협업한 '갤럭시 Z 폴드7∙Z 플...",https://www.autodaily.co.kr/news/articleView.html?idxno=534063,<b>삼성전자</b>가 아티스트 '장 줄리앙(Jean Jullien)'과 협업해 대규모 갤럭시 폴더블폰 체험존 'The Galaxy UNFOLDERS'를 7월 25일부터 8월 17일까지 서울 코엑스에서 운영한다. 장 줄리앙은 프랑스 출신의 아티스트로 일러스트레이션... ,삼성전자
1,삼성전자_2,"[김화균 칼럼] 관세전쟁 해법, ‘한국판 엔비디아’가 답이다",https://n.news.naver.com/mnews/article/029/0002971274?sid=110,"반도체 패권은 엔비디아가 쥐고 있지만, 메모리 반도체의 80%는 <b>삼성전자</b>와 SK하이닉스가 공급한다. 엔비디아 칩처럼 ‘절대 패’는 아니지만, 트럼프로서는 ‘고려하지 않을 수 없는 패’는 분명하다. 조선도 마찬가지다.... ",삼성전자
2,삼성전자_3,정책 노이즈에 지수 상단 막힌 韓 증시…&quot;조정 시 매수 전략 유효&quot;,https://www.ajunews.com/view/20250725163841137,"이 연구원은 &quot;<b>삼성전자</b>가 지수를 추가로 끌어올릴 여지는 남아 있다&quot;면서도 &quot;전반적인 지수 변동성은 낮아졌고, 정책 수혜주 중심의 상승 동력도 약화되고 있다&quot;고 분석했다. 이어 그는 &quot;외국인 패시브 자금이 지수를... ",삼성전자
3,삼성전자_4,"수출기업, 2분기 조 단위 관세 지출은 예고편...하반기 본편 예고",https://www.ajunews.com/view/20250727140743644,이달 31일 실적 발표를 앞둔 <b>삼성전자</b> 역시 관세 영향을 피하지 못했을 것으로 추정된다. 올 2분기 <b>삼성전자</b> 영업이익은 전년 동기 대비 55.94% 줄어든 4조6000억원으로 잠정 집계됐다. 가전과 TV를 포함한 디바이스경험... ,삼성전자
4,삼성전자_5,"<b>삼성</b> TV·모니터, EU 인증 &quot;보안·안전 신뢰성 확보&quot;",https://n.news.naver.com/mnews/article/009/0005531868?sid=101,<b>삼성전자</b>는 독일 시험·인증 전문 기관 '티유브이슈드'로부터 유럽에 수출되는 2025년형 TV와 모니터 모든 제품군에 대해 유럽연합(EU) 무선기기지침(RED) 규정을 충족하는 인증을 받았다고 27일 밝혔다. RED는 EU 보건 및... ,삼성전자
5,삼성전자_6,로봇청소기 성능 와트 통일…中'뻥스펙' 철퇴,https://n.news.naver.com/mnews/article/009/0005531866?sid=101,이에 비해 <b>삼성전자</b>는 로봇청소기 '비스포크 AI 스팀'을 소개할 때 '흡입력 5W'로 표기하고 있다. LG전자도 조만간 W 단위로 로봇청소기 흡입력을 표시할 예정이다. 물체 내부의 진공도(내외부 압력 차이)만 보여주는... ,삼성전자
6,삼성전자_7,&quot;품질 불량 검증하는 기관서 AI·탄소중립 인증 허브로&quot;,https://n.news.naver.com/mnews/article/009/0005531864?sid=101,"문 회장은 &quot;<b>삼성전자</b>, LG전자, SK텔레콤, 국세청 등 8개 주요 기관이 표준협회를 통해 해당 인증을 받았다&quot;고 덧붙였다. 탄소중립 인증 역시 표준협회의 핵심 사업 중 하나다. 표준협회는 유엔 산하 청정개발체제(CDM)에서... ",삼성전자
7,삼성전자_8,"[여의대로] +82와 개굴개굴, 그리고 4.5",https://www.asiatoday.co.kr/view.php?key=20250727010015406,국민 기업 <b>삼성전자</b>와 그 뒤를 잇는 SK하이닉스가 주문생산자로 전락할 가능성도 크다. 중국산 저가 전기차가 밀려들 날이 그리 머지않았다. 그렇지만 국내 기업들의 대응은 매우 느린 듯하다. 기우(杞憂)겠지만... ,삼성전자
8,삼성전자_9,신성장동력 수혈 못받는 韓 … 日은 M&amp;A로 기업체질 확 바꿔,https://n.news.naver.com/mnews/article/009/0005531837?sid=101,"이에 비해 연초 이후 국내 기업 주도 최대 M&amp;A(자회사 거래 제외)로는 <b>삼성전자</b>의 독일 냉난방 공조기업 플랙트그룹 인수(17억달러), 웅진의 프리드라이프 인수(7억달러), 교보생명의 SBI저축은행 인수(6억달러) 정도에... ",삼성전자
9,삼성전자_10,&quot;AI 더빙 장착한 K야구…전세계로 생중계&quot;,https://n.news.naver.com/mnews/article/009/0005531834?sid=105,"이에 따라 다른 국내 FAST 사업자인 <b>삼성전자</b>, LG전자, SK브로드밴드, KT 등도 계속해서 콘텐츠와 기술 경쟁력을 강화하는 추세다. FAST TV 프로그램 수준의 콘텐츠를 시청자에게 광고 기반으로 제공하는 무료 스트리밍... ",삼성전자
10,SK하이닉스_1,"中, 韓 포함 40개국에 'AI 협의체' 제안...美 'AI 우위'와 격돌 예고",https://www.ajunews.com/view/20250727145344679,"미국은 첨단 칩 공급(삼성·<b>SK하이닉스</b> 협력), 안보 동맹, 기술 협력에서 우위를 점하고 있다. 반면 중국은 시장 접근성, 오픈소스 기술 활용, AI 개발 비용 절감이라는 매력을 제시한다. 한국은 WAIC에 참석해 중국 측과... ",SK하이닉스
11,SK하이닉스_2,"[김화균 칼럼] 관세전쟁 해법, ‘한국판 엔비디아’가 답이다",https://n.news.naver.com/mnews/article/029/0002971274?sid=110,"반도체 패권은 엔비디아가 쥐고 있지만, 메모리 반도체의 80%는 삼성전자와 <b>SK하이닉스</b>가 공급한다. 엔비디아 칩처럼 ‘절대 패’는 아니지만, 트럼프로서는 ‘고려하지 않을 수 없는 패’는 분명하다. 조선도 마찬가지다.... ",SK하이닉스
12,SK하이닉스_3,충북 6월 수출 성장률 전국 1위,https://www.cctoday.co.kr/news/articleView.html?idxno=2216289,"글로벌 AI 산업의 성장이 가속화하면서 고성능 연산에 필수적인 HBM 수요가 폭증했고, 이에 따라 글로벌 HBM 시장의 약 70%를 장악하고 있는 <b>SK하이닉스</b>의 반도체 수출이 크게 증가한 것으로 분석된다.반면 이차전지... ",SK하이닉스
13,SK하이닉스_4,"[여의대로] +82와 개굴개굴, 그리고 4.5",https://www.asiatoday.co.kr/view.php?key=20250727010015406,국민 기업 삼성전자와 그 뒤를 잇는 <b>SK하이닉스</b>가 주문생산자로 전락할 가능성도 크다. 중국산 저가 전기차가 밀려들 날이 그리 머지않았다. 그렇지만 국내 기업들의 대응은 매우 느린 듯하다. 기우(杞憂)겠지만... ,SK하이닉스
14,SK하이닉스_5,兆단위 매물 쌓여가는데 대기업 M&amp;A '시계 제로',https://n.news.naver.com/mnews/article/009/0005531838?sid=101,"2020~2022년 <b>SK하이닉스</b>의 인텔 낸드사업부 인수(10조원), 신세계그룹의 이베이코리아(G마켓) 인수(3조4400억원), DN그룹의 DN솔루션즈(옛 두산공작기계) 인수(2조4000억원)와 같은 '과감한 베팅'은 요새 찾아보기 힘들다는... ",SK하이닉스
