,kind,header,summary,content,url
0,고용복지,"한노총 ""노동의 이름으로 정책 개입""","李정부에 정책협약 이행 압박  
김동명 ""단호히 싸워 권리 쟁취""","한국노동조합총연맹이 새 정부의 노동정책 수립 과정에 본격적으로 개입하겠다고 밝혔다. 단순한 이해관계자를 넘어 정책 설계자를 자처하며 자신들의 ‘노동 공동정부’ 구상을 현실로 옮기겠다는 것이다. 한국노총은 13일 서울 여의도 한국노총 대회의실에서 ‘새 정부, 노동정책 국정과제의 핵심 방향은 무엇인가’ 토론회를 열었다. 지난달 1일 대선 과정에서 이재명 더불어민주당 후보와 체결한 정책협약의 실현 방안을 모색하기 위해 마련한 자리다. 김동명 한국노총 위원장은 당시 협약 체결 후 민주당 중앙선거대책위원회 총괄선대위원장으로 활동했다.이날 토론회에서는 친노동계 학자와 한국노총 및 민주당 관계자 등이 한국노총이 대선 과정에서 주장한 주 4.5일 근무제 도입, 법정 정년 연장, 일하는 사람 보호법 제정, 5인 미만 사업장 근로기준법 적용, 포괄임금제 금지 등 7대 노동정책 과제의 실현 방안과 타당성에 이론적 근거를 제시했다.김 위원장은 축사에서 “정부 정책에 노동의 이름으로 개입하고 견제하며, 때로는 단호하게 싸워 우리의 권리를 쟁취하겠다”며 “국정과제가 아직 구체화하지 않은 시점에서 한국노총은 노·정 관계의 앞날을 선도적으로 준비하겠다”고 했다.곽용희 기자 kyh@hankyung.com",https://www.hankyung.com/article/2025061341441
1,고용복지,"강남구, 공무원 스트레스도 AI가 진단…'싱잉볼 테라피'까지",요약 없음,"지난해 직무 스트레스 완화를 위해 운영한 플라워테라피 교실. / 사진=강남구 제공

                강남구가 인공지능(AI)을 활용한 디지털 헬스케어 시스템을 도입해 공무원들의 직무스트레스와 감정노동, 뇌심혈관질환 위험을 통합 관리한다. 수도권 공공기관 중에서는 처음이다.이번 시스템은 민원 응대 등으로 심리적 소진이 큰 공무원들의 정신건강을 선제적으로 관리하고, 나아가 조직 내 건강한 근무 환경을 조성하겠다는 취지에서 추진됐다. 기존에는 직무스트레스를 개별 측정하는 방식에 그쳤지만, 강남구는 이를 넘어 감정노동과 신체 건강까지 통합 분석하는 체계를 마련했다.구체적으로는 한국산업안전보건공단의 직무스트레스 평가도구(KOSS-SF1)와 감정노동 측정도구(K-ELSⓇ11)를 병행 적용해 정신건강 상태를 정밀하게 파악한다. 여기에 건강보험공단 건강검진 데이터를 본인 인증을 거쳐 연동한 뒤, AI가 뇌심혈관질환 발병 위험도까지 함께 분석한다.분석 결과는 개인 맞춤형 리포트 형태로 제공되며, 시각화된 지표와 함께 주요 위험요인, 스트레스 관리법 등도 함께 안내된다. 카카오톡을 통해 정기적으로 건강정보도 제공된다. 고위험군으로 분류된 직원에게는 총무과와 근로자건강센터의 심리상담 프로그램이 연계된다.강남구는 특히 고위험 부서에는 정서 안정 효과가 있는 ‘싱잉볼 테라피’ 등 힐링 프로그램도 도입한다는 계획이다. 조성명 강남구청장은 “공무원이 건강해야 수준 높은 행정 서비스가 가능하다”며 “직원 건강과 조직문화 혁신을 통해 따뜻한 행정을 실현해 나가겠다”고 말했다.권용훈 기자 fact@hankyung.com",https://www.hankyung.com/article/202506129544i
2,고용복지,"""18세 국민연금 자동가입""…李대통령 핵심 공약 실현되나","만 18세 첫 달 보험료 국가가 납부
경기지사 때 추진했다 복지부 반대
전국 단위 실시시 형평성 문제 해소
복지부 태도 변화에 급물살 가능성","사진=뉴스1

                이재명 대통령의 핵심 공약인 '생애 최초 청년 국민연금'의 실현 가능성이 커졌다. 과거 경기도지사 시절 복지부의 반대로 무산됐던 정책이 이번에 주요 국정과제로 급부상하면서다. 특히 과거 반대 입장을 고수하던 보건복지부가 ""긍정적으로 검토할 수 있다""는 입장을 밝히면서 급물살을 탈 것으로 보인다.이 정책의 골자는 만 18세가 되는 모든 청년에게 첫 달 국민연금 보험료를 국가가 납부하고 자동 가입시키는 것이다. 국민연금은 가입 기간이 길수록 수령액이 많아지는 구조이기 때문에, 국가가 청년의 노후 준비를 일찍부터 도와주겠다는 취지다.이 대통령은 과거 ""국가가 제도를 만들었으면 국민이 최대한 활용할 수 있도록 해야 한다""고 밝혀왔다. 그의 복지 철학이 정책 전반에 반영될 것으로 보인다. 과거 경기도 시범사업 추진 당시 복지부는 형평성 문제를 지적했지만, 전국 단위로 실시할 경우 이는 자연스레 해소된다.특히 복지부의 태도 변화가 가장 큰 정책 추진의 동력이다. 과거엔 고소득층 자녀가 국민연금에 가입시킨 뒤 수십 년간 보험료를 한 푼도 내지 않다가 '추후 납부' 제도를 활용해 20~30년 치 보험료를 한꺼번에 납부하는 등 연금을 재테크 수단으로 악용하는 사례가 있었으나, 최근 제도 개편으로 추납이 최대 10년으로 제한되면서 이런 우려가 상당 부분 해소됐다.전문가들도 조기 가입의 중요성을 강조한다. 한국의 20대 국민연금 가입률은 35% 수준으로 주요국 80%에 비해 현저히 낮다.MZ(밀레니얼+Z)세대의 연금 불신을 타개하고 신뢰를 회복하는 계기가 될지도 이목이 쏠린다. 국회에서도 관련 입법 논의가 진행 중이다.신현보 한경닷컴 기자 greaterfool@hankyung.com",https://www.hankyung.com/article/2025061321267
3,고용복지,"""청주 출장 간다더니…"" 7시간 사라진 대기업 직원 결국 [곽용희의 인사노무노트]","""출근카드만 찍고 잠수""…선넘은 대기업 '근무시간 뻥튀기'

SK하이닉스 직원 5개월간 23번 '수상한 출장' 
이천-청주 7시간 걸리기도…근무는 '10분'
업무용 차 공회전 해놓고 사무실 안 들어가   
집에 가는 시간도 '출장시간'으로 허위입력
해고 되자 ""해고 부당하다"" 소송 제기 
1심 ""해고는 과하다"" 근로자 손 들어줘 
2심 ""유연근무제 근간 훼손…해고 정당"" 1심 뒤집어
전문가들 ""유연근무 관리 어려움 잘 나타낸 사례""","사진=게티이미지뱅크

                회사 자율 출퇴근제를 악용해 상습적으로 출장 이동시간을 부풀리고 근무시간을 허위 보고한 근로자를 해고한 것은 정당하다는 법원 판단이 나왔다. 8일 법조계에 따르면 서울고등법원은 최근 근로자 A씨가 중앙노동위원회를 상대로 제기한 부당해고구제재심판정취소 소송에서 1심을 뒤집고 이같이 판단했다. 이 판결은 지난 2월 대법원 상고기각으로 확정됐다. ◆""이천에서 청주까지 7시간 34분""…선넘은 출장 뻥튀기2005년 SK하이닉스에 입사한 A씨는 2020년 1~6월 이천캠퍼스에서 청주 캠퍼스로 총 30차례 출장하는 동안 23회에 걸쳐 과도한 이동시간 사용, 무단 이탈을 했다는 의혹이 제기됐다.법인차량의 GPS 기록, 사내 카드키 타각(체크) 시간, 출입 기록 등을 통해 그의 ‘출장 부풀리기’ 실태가 드러났다.먼저 A는 출장을 신청한 다음 개인 용무를 본 뒤 오후 5시가 돼서야 청주에 도착해 12분 정도 일한 사례가 포착됐다. 또 이천에서 청주까지 보통 차로 2시간 이내의 시간이 소요되지만 이천을 떠난 지 7시간 34분이 걸려 청주에 도착한 경우도 있었다. 이날 실제 업무 시간은 10분 정도였다.현장 도착 이후에도 업무용 차 안에서 90분 넘게 공회전시켜놓고 사무실에 들어가지 않은 경우도 있었다. 출장지에서도 점심시간 이후 1시간 40분 동안 사무실에 모습을 비추지 않거나, 심지어 귀가하는 시간도 출장 시간으로 허위 입력한 경우도 적발됐다.A는 이에 대해 ""중간에 출장 용무 변경으로 자회사에서 회의하거나, 늦은 점심을 먹었다"" ""출입 체크가 안되는 사무실에서 담당자들과 회의했다"" ""차 안에서 업무를 봤다""라는 식으로 해명했다. 하지만 A의 상급자는 ""보통 이천에서 청주까지 1시간 30분 이내 소요되며 중간에 다른 장소에서 업무를 수행하는 경우는 없다""며 ""현장 구성원들로부터 A가 현장에 거의 오지 않는다는 VOC가 접수돼 여러 번 근태 관련 주의를 줬다""고 증언했다.결국 A는 징계 절차를 거쳐 2021년 3월 해고됐다. 이후 노동위원회에 재심을 신청했지만 기각되자, 중앙노동위를 상대로 행정 소송을 제기한 것. ◆항소심 ""유연근무제 근간 훼손...해고 정당"" 판단1심 법원은 해고가 과하다고 봤다. 일부 징계 사유 입증이 불충분하다는 이유에서다. 차량 기록, GPS 등으로 '공회전' 정황 등은 인정했지만 그것만으로는 출장 이동시간을 과다하게 사용했다고 단정하기 어렵다는 판단이었다.하지만 2심은 이를 뒤집었다. 법원은 먼저 ""회사 측에서 객관적 자료로 출장 시간이 당초 승인받은 시간이나 통상 소요되는 시간을 초과함을 증명했다면, 이를 정당화할 수 있는 특별한 사정은 (근로자인) A가 이를 주장·증명할 필요가 있다""고 강조했다. 수상한 정황을 회사가 증명했다면 ""다른 곳에 들러서 일했다""는 등의 이례적 주장은 A가 입증해야 한다는 판단이다.이에 따라 '근무 태만' 건수를 축소해서 인정한 1심과 달리 항소심은 약 5개월간 총 16회에 걸쳐 근태 위반 행위가 인정된다고 봤다. 출장 목적지가 도중에 바뀌었다는 A의 주장 등에 대해서도 ""용무 변경에 관해 상급자 승인이나 결재를 받은 자료도 없고, 다른 곳에서 회의했다는 증거도 없다""고 반박했다.이를 바탕으로 재판부는 ""근태 위반이 반복적이었고 경과실로 보기도 어렵다""며 ""사용자와 근로자 간 신뢰라는 유연근무제의 근간을 훼손했고 직장 질서와 업무 환경에 미치는 영향이 중대하다""고 꼬집고 해고가 정당하다고 판단했다. A측은 십수년간 성실하게 근무한 점을 참작해야 한다고 주장했지만, 징계 과정에서 A가 인사담당자에게 “징계 주는 입장이니 늘 갑질 삶이지 않나요?” “스스로 반성하세요”라며 비꼰 사실도 불리한 정황이 됐다. ◆""카드만 찍고 휴식""...근태 부풀리기에 골머리이번 판결은 유연근로제를 도입한 대기업들에 시사하는 바가 크다. SK하이닉스는 자율 출퇴근제도나 유연근무제를 선제적으로 도입한 기업이다.판결문에 따르면 SK하이닉스는 건물 사원증 최후 타각 시각과 최초 타각 시각을 기본으로 하되, 1시간 넘게 휴게한 시간은 본인이 직접 입력해서 근무시간에서 제외하는 방식으로 근태를 관리해왔다. 하지만 A씨처럼 꼼수를 쓴 경우엔 적발이 쉽지 않다. 특히 A처럼 출장을 가는 경우엔 더욱 그렇다.  업계 관계자는 “자율 출퇴근제와 유연 근로제는 직원 자율성 확보라는 긍정적 취지를 가지고 있지만, 시스템 악용이 쉽고 실근로시간 확인은 어려워 조직의 신뢰를 훼손하고 제도 유지 자체를 어렵게 만든다”고 지적했다.한 대기업 인사담당자는 “반복적인 근무태만도 입증해서 해고하는 과정이 얼마나 지난한지 보여주는 전형적 사례”라며 ""주 4.5일제 도입론이 확산하면서 기업의 생산성 향상에 대한 고민이 깊어지는만큼, 근태 관리 체계 도입에 관심이 더 모아질 것""이라고 했다.이에 대해 A씨는 한국경제와의 통화에서 “당시 출장일은 고용노동부의 정식 출석요구에 따른 조사 일정으로 근무 태만과는 무관하다”며 “SK하이닉스의 임금 편취와 계약서 위조 등을 고발한 공익신고자로서 회사의 불법 행위를 제보한 상황이 왜곡돼 명예가 심각하게 훼손돼 억울하다”고 밝혔다.곽용희 기자 kyh@hankyung.com",https://www.hankyung.com/article/202506079800i
4,고용복지,'노동계 숙원' 노란봉투법·정년 연장 추진,"이재노믹스 - 노동 정책

정치적 부담 커 수정 가능성
주 4.5일제·포괄임금제도 논란","이재명 정부 출범으로 가장 큰 변화가 예상되는 분야는 노동이다. 이재명 대통령의 노동 공약이 윤석열 정부 아래에서 탄압받았다고 주장해온 노동계의 숙원을 대거 담고 있기 때문이다.





                노동조합법 2·3조 개정안(노란봉투법)이 대표적이다. 2조 개정안은 노조법상 사용자 개념을 확대해 하청업체 노조가 원청을 상대로 단체교섭을 직접 요구할 수 있도록 하는 내용이 골자다. 3조 개정안은 불법 쟁의로 인한 손해배상 청구를 제한하는 방안을 담고 있다. 더불어민주당이 21대, 22대 국회에서 한 차례씩 강행 처리했지만 윤석열 전 대통령이 거부권을 행사해 폐기됐다. 이 대통령이 재추진 의지를 밝힌 만큼 시행 가능성은 높아졌다. 다만 기존 법체계와 충돌하고 산업 생태계가 붕괴할 것이란 우려가 커 법안을 대폭 완화하거나 처리를 지연할 가능성도 배제할 수 없다.정년을 65세까지 단계적으로 늘리는 ‘정년 연장’도 노동계의 강력한 요구사항이었던 만큼 연내 추진될 가능성이 높다. 경영계는 직무급제 등 임금체계 개편 없이 정년만 늘리면 기업 인건비 부담이 급증하고 청년 고용에 악영향을 준다며 퇴직 후 재고용 등을 주장해왔지만 일률적 법정 정년 연장이 유력해졌다는 평가가 나온다.주 4.5일제 도입과 포괄임금제 폐지도 “장시간 노동을 해소하겠다”며 내건 이 대통령의 대표적 공약이다. 다만 전문가들은 임금을 그대로 유지한 주 4.5일제를 도입하면 생산성 저하와 인건비 증가로 이어져 기업들의 글로벌 경쟁력이 악화할 것이라는 우려를 제기한다. 연장근로 시간과 관계없이 고정된 급여를 지급하는 ‘포괄임금제’는 산업 현장 필요에 따라 법원이 만든 제도여서 경직된 주 52시간제를 유연화하는 ‘유연근무제’ 등을 활성화하는 대책 없이 폐지하면 역효과가 클 것이라는 지적이 나온다.계약직, 파견직, 하청근로자도 근로자대표를 선출할 수 있도록 하는 ‘근로자대표 위원회 상설’ 정책은 노동 현장에 상당한 변화를 일으킬 것으로 보인다.곽용희 기자 kyh@hankyung.com",https://www.hankyung.com/article/2025060329391
5,고용복지,[속보] 5월 취업자 24만5000명↑…13개월 만에 20만명대,요약 없음,"사진=연합뉴스

                지난달 취업자가 13개월 만에 20만명 넘게 증가했다. 다만 제조업과 건설업의 일자리 부진은 계속됐다.11일 통계청이 발표한 '5월 고용동향'에 따르면 지난달 15세 이상 취업자는 2916만명으로, 작년 같은 달과 비교하면 24만5000명 증가했다. 취업자가 20만명 이상 늘어난 것은 지난해 4월(26만1000명) 이후 처음으로, 증가 폭도 그 이후 가장 크다.취업자는 지난해 12월 일자리 사업 일시 종료 등 영향으로 5만2000명 감소했다. 이후 지난 1월 13만5000명 늘면서 한 달 만에 증가 전환했다. 지난 2월, 3월, 4월 모두 10만명대 증가세를 기록했다.제조업 취업자는 6만7000명 줄면서 작년 7월 이후 11개월째 감소세가 이어졌다. 건설업 취업자 또한 건설경기 불황 등의 영향으로 10만6000명 감소했다. 작년 5월 이래 계속 전년 대비 '마이너스'다. 다만 두 업종 모두 전월보다는 취업자 감소 폭이 축소됐다.숙박음식업 취업자도 6만7000명 감소했다. 2021년 11월 8만6000명 감소한 이후 3년 6개월 만에 최대 감소 폭이다. 반면 도매 및 소매업 취업자는 1만8000명 늘어 15개월 만에 증가 전환했다. 보건업 및 사회복지서비스업(23만3000명), 전문 과학 및 기술 서비스업(11만7000명) 등도 취업자가 늘었다.15∼64세 고용률은 70.5%로 작년보다 0.5%포인트(p) 상승했다. 다만 15∼29세 청년층의 고용률은 0.7%p 하락하면서 46.2%를 기록했다. 업자는 85만3000명으로 작년보다 3만2000명 줄었다. 실업률은 2.8%였다.이민형 한경닷컴 기자 meaning@hankyung.com",https://www.hankyung.com/article/2025061167107
6,고용복지,"""남편 죽여버린다"" 머리채 잡혔다…육아휴직 꺼냈다가 '봉변'","육아휴직 쓴다는 직원 폭행·협박하고 퇴사 강요
베이커리 대표 남편 철퇴","사진=게티이미지뱅크

                육아휴직 얘기를 꺼낸 직원에게 폭언·폭행, 협박으로 퇴사를 강요한 베이커리 대표의 남편이 형사 처벌을 받게 됐다. 근로 복지 사각지대에 있는 소기업 근로자들의 애환을 잘 나타내주는 사례라는 지적이 나온다.3일 법조계에 따르면 수원지방법원은 최근 강요미수와 상해 혐의로 기소된 A에 대해 유죄 판결을 선고했다. 피고인 A는 화성시의 한 베이커리 대표의 남편이다. A씨는 2024년 1월 어느 날 오후 베이커리 내 대표실에서 피해자 B(여, 37세)씨가 육아휴직을 신청하겠다고 하자 화가 나 B씨에게 욕설과 협박을 퍼부었다.A는 “우리 XX 뒈지겠는데, 문 닫게 생겼는데 무슨 육아휴직이고, 우리가 무슨 대기업이야?” “권고사직해 줄 테니까 그냥 퇴직해”라며 퇴사를 강요했다. A의 만행은 여기서 그치지 않았다. A는 “남편 오라 그래, 패서 죽여버리게”, “나 깡패여, 이 X같은 XX가 죽으려고” 등 폭언을 퍼부으면서 자기 윗옷을 들쳐 올리고 상체의 문신을 보여준 후 손을 들어 때리는 시늉을 했다. 또 비명을 지르며 도망가는 B씨를 쫓아가며 ""XX 뭔 육아휴직이야? 이리 와”라고 위협하며 손으로 머리채를 잡아당겼다.결국 A는 B씨를 2주간 치료가 필요한 경추 염좌 등 상해를 가하고 폭행 및 협박으로 의무 없는 일(퇴사)을 하도록 강요한 혐의로 기소됐다. 다만 B씨가 퇴사에 응하지 않아 강요죄는 '미수'에 그쳤다.재판부는 ""죄질이 불량하고 B씨가 범행으로 큰 정신적 충격을 받았고, 동종 전과가 다수 있는 등 준법의식이 미약해 보인다""면서도 잘못을 인정하고 피해자와 원만히 합의해 피해자가 처벌을 원하고 있지 않은 점을 고려해 징역 4개월에 집행유예 1년을 선고했다.남녀고용평등과 일·가정 양립 지원에 관한 법률 제19조에 따라 사업장 규모와 관계없이 모든 근로자에게 육아휴직 권리가 보장된다. 근로자가 육아휴직을 신청했음에도 불구하고 정당한 사유 없이 이를 허용하지 않는 경우, 사업주에게는 500만 원 이하의 벌금이 부과될 수 있다.저출생 국면을 맞아 정부가 2025년부터는 육아휴직 급여 상한액을 월 최대 250만 원으로 인상하는 등 지원 수준을 끌어올리면서 육아휴직 사용자가 점점 늘고 있다. 중소기업(우선지원대상기업) 소속 육아휴직자 수도 꾸준히 늘면서 지난해엔 7만 5311명이 활용해 전체 사용자의 56.8%를 차지했다. 전년 대비 1.2%포인트 증가한 수치다.다만 중소기업 근로자의 비중이 훨씬 큰 것에 비하면 활용률이 높다고 보기 어렵다. 특히 인력이 부족한 영세기업 근로자의 경우 대기업이나 공기업에 비해 제도 혜택을 받지 못하는 등 사각지대에 처해있다는 지적이 나온다.곽용희 기자 kyh@hankyung.com",https://www.hankyung.com/article/202506021632i
7,고용복지,배달·대리 기사도 최저임금 적용하나,"플랫폼·특고 확대 놓고 '격론'
최저임금위, 주 2회 집중 심의","최저임금제도를 도급제 방식으로 일하는 플랫폼 노동자와 특수고용직으로 확대 적용할지를 두고 노동계와 경영계가 충돌했다. 업종별 최저임금 차등 적용 여부도 노사 간 입장차가 커 올해 최저임금 심의도 법정 기한(27일)을 넘길 것으로 우려된다.최저임금위원회는 10일 정부세종청사에서 제4차 전원회의를 열어 2026년도 적용 최저임금 결정 심의를 이어갔다. 위원들은 배달기사, 대리기사 등 도급제 노동자에게도 최저임금을 적용해야 한다는 노동계 주장을 놓고 의견을 주고받았다. 노동계는 즉시 확대 적용 입장을 고수했다. 정문주 한국노동조합총연맹 중앙연구원장은 “특수고용·플랫폼·프리랜서 노동자에게도 적용할 수 있는 최저임금법 조항이 있다”며 “적극적인 법 해석을 통해 보호조치를 신속히 마련해야 한다”고 강조했다. 이미선 전국민주노동조합총연맹 부위원장도 “저임금 노동자에게는 적정 임금을, 특수고용·플랫폼 노동자에게는 최저임금 적용 확대가 필요하다”고 말했다.경영계는 국회에서 먼저 제도 개선이 이뤄져야 한다고 주장했다. 류기정 한국경영자총협회 전무는 “특고 등 노무 제공자에게 별도 방식으로 최저임금을 적용하는 것은 최저임금위의 권한과 역할 밖”이라며 “최저임금은 근로기준법상 근로자에게 적용되고, 특정 직종 종사자가 근로자인지를 일률적으로 판단하는 것은 최저임금위의 권한도, 역할도 아니다”고 목소리를 높였다. 이어 “시급 단위가 아니라 (건별 등) 별도 방식의 최저임금에 대해 최저임금위가 결정하는 것은 현실적으로 불가능할 뿐만 아니라 적절하지도 않다”고 강조했다. 이명로 중소기업중앙회 인력정책본부장도 “근로자가 아닌 노무 제공자에 대한 생계 보장은 사회적 대화와 국회 입법을 통해 풀어야 할 사안”이라고 했다.최저임금위는 도급제 최저임금 논의가 끝나는 대로 업종별 최저임금 차등 적용 문제도 본격 논의할 예정이다. 최저임금위는 빠른 심의를 위해 다음 주부터 전원회의를 주 2회 열어 집중 심의할 계획이다.곽용희 기자 kyh@hankyung.com",https://www.hankyung.com/article/2025061061991
8,고용복지,5월 구직자 한 명당 일자리 0.37개 불과…외환위기 이후 최저,실업급여 넉달째 1조원대 지급,"경기 침체 여파로 실업급여 지급액이 4개월 연속 1조원을 넘어섰다. 일자리가 줄면서 구직자 한 명당 일자리 수를 뜻하는 ‘구인배수’도 역대 최저 수준으로 떨어졌다.고용노동부가 9일 발표한 ‘2025년 5월 고용행정 통계’에 따르면 5월 말 기준 고용보험 상시가입자는 1558만 명으로 지난해 같은 달보다 18만7000명(1.2%) 증가했다. 2020년 5월(15만5000명) 후 5년 만에 가장 작은 증가폭이다.제조업과 건설업 등 주요 산업의 고용 상황이 지속적으로 악화하고 있다. 건설업 고용보험 가입자는 75만4000명으로 1년 전 같은 기간보다 1만9000명 줄었다. 올해 1월부터 5개월 연속 감소세다. 300인 미만 중소 건설회사의 고용 감소가 두드러졌다. 이들 기업에서 줄어든 고용보험 가입자 수는 1만2000명으로 전체 감소분의 60%를 웃돌았다.5월 말 기준 제조업 고용보험 가입자는 385만 명으로 1년 전보다 4000명(0.1%) 증가했다. 하지만 외국인 근로자를 제외한 내국인 기준으로는 1년 전보다 1만6000명 줄었다. 20개월 연속 감소세다.지난달 실업급여 지급자는 67만 명으로 전년 동월보다 2만4000명(3.7%) 증가했다. 지급액도 1조1108억원으로 3.0% 늘었다. 실업급여 지급액은 올 2월부터 4개월 연속으로 1조원을 웃돌았다. 코로나19가 한창이던 2021년 이후 민간 고용 상황이 가장 악화한 것으로 평가됐다. 산업별로 보면 건설업 실업급여 지급자가 1만2300명 증가했다. 전체 상승폭의 절반 이상이다. 제조업(6300명)과 도소매업(3900명)도 증가폭이 컸다. 보건복지, 공공행정, 부동산업 등은 지급자가 줄었다.경기가 악화하면서 구직자는 늘어나는데 일자리가 줄어들고 있는 것으로 나타났다. 5월 구인배수는 0.37로, 전년 동월(0.51) 대비 급감했다. 구직자 1인당 일자리가 0.37개에 그친다는 의미다. 이는 외환위기 당시인 1998년 5월(0.32) 후 가장 낮은 수준이다. 천경기 고용부 미래고용분석과장은 “연구기관에 따르면 상반기에는 (고용 회복 추세가) 지속할 수 있을 것으로 보이지만, 하반기부터는 어려워질 것 같다”고 예상했다.곽용희 기자 kyh@hankyung.com",https://www.hankyung.com/article/2025060934951
9,고용복지,"""시급 1만1500원 달라""…노동계, 최저임금 요구안 발표 [영상]","2025년 최저임금(1만30원)보다 14.7% 인상된 수준
실질임금 하락분+체감임금 조정률 더해 산출 
지난해 최초 요구안보다 1100원 낮아져","영상 모듈 닫기




2026년 적용 최저임금 심의를 앞두고 노동계가 시급 1만1500원을 요구했다. 2025년 최저임금(1만30원)보다 14.7% 인상된 수준이다.한국노총과 민주노총, 시민사회단체로 구성된 ‘모두를 위한 최저임금 운동본부’는 11일 서울 광화문 세종문화회관 계단에서 기자회견을 열고 “현행 최저임금은 생계비에도 못 미치는 수준이며 지난 5년간의 실질임금 하락을 반영해야 한다”고 주장했다.
                    



사진=뉴스1

                노동계가 제시한 인상률 14.7%는 두 가지 요소를 합산한 결과다. 우선 2021년부터 2025년까지 경제성장률과 물가상승률을 합산한 수치는 27.6%에 달하지만 같은 기간 최저임금 인상률은 15.8%에 그쳤다. 노동계는 이 차이인 11.8%가 '실질임금 하락분'이라고 주장했다. 여기에 2024년부터 확대된 최저임금 산입범위 개편의 영향도 반영했다. 상여금과 복리후생비가 완전히 최저임금에 산입되면서 체감임금은 줄었고, 이를 2.9%의 조정분으로 더해 총 14.7% 인상률을 도출했다는 설명이다.노동계는 시급 1만1500원이 생계비 기준으로도 정당화될 수 있다고 덧붙였다. 통계청 자료를 한국노총이 분석한 결과에 따르면, 노동자 평균 가구(가구원 평균 2.24명) 생계비는 월 457만 원 수준이다. 이를 평균 소득원 수 1.425명을 감안해 시급으로 환산하면 1만5000원대라는 설명이다. 다만 근로소득 비중 82.5%를 반영하면 시급 1만2732원이 적정 수준이라는 계산이 나온다는 게 운동본부의 주장이다.노동계는 “생계비를 제대로 반영하지 못하는 최저임금은 법적 제도의 본래 취지를 무력화시키는 것”이라며 “ILO 협약과 유엔 사회권 규약 등 국제 기준에 맞춰야 한다”고 주장했다. ILO는 최저임금이 ‘노동자와 가족의 생계를 유지할 수 있는 수준’이어야 한다고 권고하고 있다.이번 요구안은 최저임금위원회에서 근로자위원의 최초 제시안이 될 가능성이 높다. 다만 지난해 최저임금 노동계 최초 제시안 1만2600원보다 1100원이나 낮아져 상대적으로 현실화했다는 평가다. 노동계 관계자는 ""정권과 상관없이 지난해부터 요구안을 현실적으로 던지자는 얘기가 내부에서 있었다""고 전했다.곽용희 기자 kyh@hankyung.com",https://www.hankyung.com/article/202506117115i
