header,summary,content,url,datetime
"코스피, 개인 매수세 상승출발…SK하이닉스 3%대 강세",,"사진=뉴스1

                코스피가 개인 매수에 힘입어 상승출발했다. 미·중 무역 협상에 대한 기대감으로 반도체주와 자동차주가 강세를 보이는 중이다.11일 오전 9시5분 현재 코스피는 전일 대비 13.25포인트(0.46%) 오른 2885.10에 거래되고 있다.개인이 유가증권시장에서 618억원어치 주식을 순매수하며 지수 상승을 이끌고 있다. 외국인의 현물주식 매수 규모는 15억원에 불과하지만, 코스피200선물은 819억원어치를 쓸어 담고 있다. 반면 기관은 현물주식을 586억우너어치 순매도 중이다.시가총액 상위 종목들은 혼조세다.삼성전자와 SK하이닉스는 각각 1.18%와 3.15% 상승 중이다. 간밤 뉴욕증시에서 필라델피아반도체지수가 2% 넘게 오른 영향이다. 반도체 섹터는 미·중 무역협상에서 미국이 중국에 대한 판매 제한 제재를 완화할 가능성이 점쳐지면서 투자심리가 개선됐다.LG에너지솔루션은 2.08% 오르고 있다.현대차와 기아도 각각 1.78%와 1.8% 상승 중이다. 자동차주는 대표적인 미국의 관세 정책 피해주였다.한화에어로스페이스는 2.35% 하락하고 있다. HD현대중공업도 1.52% 내리는 중이다.KB금융도 1.98% 빠지고 있다.삼성바이오로직스는 약보합세이지만, 셀트리온은 0.92% 하락하고 있다.코스닥은 전일 대비 4.98포인트(0.65%) 오른 776.18에거래되고 있다. 이 시장에서는 개인이 476억원어치 주식을 사는 반면, 외국인과 기관은 각각 187억원어치와 276억원어치를 팔고 있다.코스닥 시가총액 상위 종목들은 대체로 상승세다.에코프로비엠이 3.8% 상승해 가장 두드러진다. 에코프로는 1.81% 오르고 있다.알테오젠(1.4%), HLB(0.57%), 파마리서치(1.15%), 펩트론(1.87%), 휴젤(0.96%) 등도 바이오주들도 강세다.서울외환시장에서 원·달러 환율은 전일 대비 3.2원(0.23%) 내린 달러당 1364.8원에 거래되고 있다.뉴욕증시에서 주요지수는 등락을 거듭하다가 결국 상승 마감했다. 영국 런던에서 이틀째 진행 중인 미국과 중국의 무역협상의 결과가 아직 나오지 않았지만, 협상에 대한 하워드 러트닉 미구 상무부 장관의 긍정적인 발언이 증시를 들어 올렸다. 10일(현지시간) 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전일 대비 105.11포인트(0.25%) 오른 42,866.87에, 스탠더드앤드푸어스(S&P)500지수는 32.93포인트(0.55%) 상승한 6,038.81에, 나스닥종합지수는 123.75포인트(0.63%) 오른 19,714.99에 각각 거래를 마쳤다.한경우 한경닷컴 기자 case@hankyung.com",https://www.hankyung.com/article/2025061170186,2025.06.11 09:15
"글로벌 '빅4' 바이오 소부장, 韓 매출 60%↑","삼성바이오, 年 1조원대 구입 
국산화 7%뿐…그들만의 리그","삼성바이오로직스 덕분에 글로벌 바이오 소재·부품·장비 업체의 한국 시장 매출이 4년간 60.7% 급등했다. 이들 업체의 한국 매출은 중국 매출을 추월한 사례도 있는 것으로 나타났다.





                26일 한국평가데이터에 따르면 미국 써모피셔사이언티픽, 독일 머크·싸토리우스, 미국 싸이티바 등 글로벌 ‘빅4’ 바이오 소부장 기업의 지난해 한국법인 매출은 전년 대비 9.1% 증가한 1조6277억원이었다. 2020년 1조123억원을 기록한 이후 4년 만에 60.7% 증가했다. 빅4 가운데 매출 1위는 써모피셔로 5979억원을 기록했다. 바이오 분석·진단 장비 및 소모품과 시약 등을 제조하는 써모피셔는 항암제, 자가면역질환 치료제 등 바이오의약품 생산에 필요한 세포의 먹이인 배지 분야에서 국내 시장 선두다. 매출 2위 머크는 배양, 정제, 제품화 등 바이오의약품 생산 공정 중 정제에 필요한 필터 분야에서 국내 1위다. 2896억원의 매출을 기록한 싸이티바는 전년 대비 46.6%, 4년 전 대비 134.7%의 매출 증가율을 기록해 가장 빠르게 성장하고 있다. 싸이티바는 정제 과정에서 목표 단백질을 추출하는 데 쓰이는 배지 분야에서 국내 선두다.빅4의 급성장은 국산화율이 7%에 불과한 빈약한 국내 바이오 소부장 시장 여건과 삼성바이오로직스의 수주 영향이 복합적으로 작용한 결과다. 산업통상자원부에 따르면 글로벌 바이오 소부장 시장은 연평균 10.3% 성장해 2029년 96조5000억원에 달할 전망이다. 업계에 따르면 빅4 한국법인 매출의 80%가량은 삼성바이오로직스에서 나온다. 나머지 20%는 셀트리온 SK바이오사이언스 등에서 비롯된다.삼성바이오로직스는 지난해 위탁개발생산(CDMO) 사업과 바이오의약품 개발 및 상업화에 필요한 레진 필터 등 원재료 구입에만 1조1150억원을 썼다. 지난해 매출(4조5473억원)의 24.5%에 달한다. 삼성바이오로직스 공시에 따르면 원재료 매입처는 싸이티바 싱가포르, 씨그마알드리치코리아, 써모피셔사이언티픽솔루션스, 머크, 싸토리우스코리아바이오텍 등이다. 국내 기업은 거의 없다. 매출의 4분의 1 가량을 외국계 기업이 차지하고 있다는 얘기다.업계 관계자는 “삼성이 반도체사업을 일으키며 관련 국내 소부장 생태계를 키웠듯, 국가 대표 CDMO업체로서 바이오 소부장 생태계 조성에도 힘을 써야 한다”고 지적했다. 삼성바이오로직스는 글로벌 고객사 눈높이에 맞춰 해외 소부장 업체 제품을 사용할 수밖에 없다는 입장이다. 회사 관계자는 “국내 소부장 업체와의 협력 강화도 지속적으로 검토하며 중장기적 목표로 추진하고 있다”고 했다.안대규 기자 powerzanic@hankyung.com",https://www.hankyung.com/article/2025052665521,2025.05.26 17:22
"16일, 거래소 외국인 순매도상위에 전기,전자 업종 8종목",,"외국인 투자자는 16일 거래소에서 삼성전자, SK하이닉스, 현대차 등을 중점적으로 매도한 것으로 나타났다.외국인 투자자의 순매도 상위 20개 종목은 삼성전자, SK하이닉스, 현대차, 삼성전기, 카카오, 삼성SDI, HD현대일렉트릭, 한국항공우주, LS ELECTRIC, 현대로템등이다.이중에 전기,전자 업종에 속한 종목이 8개 포함되어 있다.삼성전기, 한국항공우주, 현대로템 등은 전일 대비 주가가 상승했고, 삼성전자, SK하이닉스, 현대차 등은 주가가 하락했다.[04월16일]거래소 외국인 순매도 상위 종목한경로보뉴스이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.",https://www.hankyung.com/article/202504166394L,2025.04.16 18:35
"27일, 거래소 기관 순매도상위에 전기,전자 업종 4종목",,"기관 투자자는 27일 거래소에서 SK하이닉스, LG에너지솔루션, 카카오 등을 중점적으로 매도한 것으로 나타났다.기관 투자자의 순매도 상위 20개 종목은 SK하이닉스, LG에너지솔루션, 카카오, KODEX 200, KODEX 200선물인버스2X, PLUS 고배당주, 삼성SDI, 하이브, LG생활건강, NAVER등이다.이중에 전기,전자 업종에 속한 종목이 4개 포함되어 있다.KODEX 200선물인버스2X, 삼성 인버스 2X 코스닥150 선물 ETN 등은 전일 대비 주가가 상승했고, SK하이닉스, LG에너지솔루션, 카카오 등은 주가가 하락했다.[06월27일]거래소 기관 순매도 상위 종목한경로보뉴스이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.",https://www.hankyung.com/article/202506275197L,2025.06.27 18:35
"삼성바이오, 우시 빈자리 노린다…""미국 고객사 선점""",,"영상 모듈 닫기




<앵커>글로벌 바이오의약품 위탁개발생산(CDMO) 3위인 삼성바이오로직스가 중국 우시바이오로직스 등 경쟁사와의 격차를 벌리는 데 집중하고 있습니다.산업부 이서후 기자와 살펴봅니다. 이 기자, 삼성바이오가 역대급 실적을 써내려가고 있잖습니까. 오늘 이재용 삼성전자 회장이 방문하기도 했구요.이번 '바이오 USA 2025'에서는 우시의 공백을 틈타 고객사들을 확대하는 게 목표라면서요.<기자>이재용 삼성전자 회장은 오늘 인천 송도에 있는 삼성바이오로직스를 찾아 최근 가동을 시작한 5공장 등을 살펴봤습니다.지난해 매출 4.5조원으로 사상 최대 실적을 써낸만큼 직접 사업장을 방문해 격려하기 위한 행보로 풀이됩니다.이날 현장에는 정현호 삼성전자 부회장, 존림 삼성바이오로직스 대표이사 등 주요 경영진이 함께 한 것으로 알려집니다.삼성바이오는 오는 16일 미국 보스턴에서 개최되는 바이오 USA에서 기존 고객사 뿐만 아니라 신규 고객사와의 접점을 늘리겠다고 밝혔습니다.지난 2023년 바이오 USA 기간 삼성바이오는 글로벌 제약사 화이자로부터 당시 역대 단일 계약으로는 최대 규모 수주를 따내기도 했습니다.특히 경쟁사인 중국 우시바이오가 지난해에 이어 이번에도 불참하면서, 우시의 기존 고객사를 뺏어올 수 있는 기회가 될 수 있다는 관측이 나옵니다.현재 미국 바이오 기업의 약 80%가 중국 CDMO 기업에 의존하고 있고, 우시바이오로직스의 매출의 50%가 미국에서 발생하는 것으로 알려졌습니다.전세계 CDMO 시장을 살펴보면, 북미 매출이 전체의 약 48%를 차지할 정도로 CDMO 기업 입장에선 미국 시장을 잡는 게 중요한 상황입니다.삼성바이오의 고객사 절반 정도가 미국 고객사인 것도 이때문이구요.미국 정부가 중국 바이오 기업들에 대한 규제를 강화할 경우, 이를 우려하는 고객사들을 삼성바이오가 선점할 수 있을 것이란 기대가 나오는 겁니다.실제 생물보안법이 추진된 지난해 글로벌 매출 순위는 1위 론자(11조 원), 2위 캐털런트(6조 원), 3위 삼성바이오(4조5천억 원), 우시바이오로직스(3조6천억 원) 순으로 추정되는데요.삼성바이오가 재작년 2위였던 우시바이오를 제치고 3위로 등극한 데에는 미국 정부의 중국 견제 등 영향이 반영된 것이란 분석이 나옵니다.<앵커>미국이 중국 CDMO 기업을 견제할 수 밖에 없는 상황인데, 특히 한동안 주춤했던 생물보안법 입법도 다시 추진되고 있다면서요?<기자>중국은 저렴한 인건비 등을 무기로 바이오의약품 제조국 중에 가격경쟁력이 가장 높은 나라 중 하나입니다.미국에서 만든 바이오의약품과 비교하면 중국에서 만든 제품이 약 5% 더 저렴합니다.비용이 낮을 뿐만 아니라 개발부터 생산까지 고객사 맞춤용 서비스가 잘 구축되어 있기 때문에 그동안 글로벌 제약사들의 수요가 높았던 건데요.그런데 최근 미국 의회에서 생물보안법을 다시 도입할 것으로 예상되면서 이에 제동이 걸릴 것이란 전망이 나오는 겁니다.우시바이오, 우시앱택, BGI, MGI 등 중국 기업들을 안보 위협 대상으로 지정한 해당 법안은 지난해 미국 하원 본회의에서 통과했지만, 상원에서 부결된 바 있습니다.그런데 최근 미국 국토안보·정무위원회 소속 게리 피터스 상원의원이 법안의 재도입에 대한 가능성을 시사하면서 우리 기업의 반사수혜에 대한 기대감이 다시 높아지고 있습니다.<앵커>삼성바이오, 올해 수주 신기록을 경신했잖습니까. 생산역량도 글로벌 1위 수준에 등극했구요.이제 남은 과제는 항체-약물접합체(ADC) 포트폴리오 확보일텐데, 상황이 어떤가요?<기자>삼성바이오로직스는 글로벌 상위 제약사 20곳 중 17곳을 고객사로 보유하는 데 성공했습니다.올해에만 공시 기준 총 4건의 신규 수주를 확보하면서 5개월만에 연누적 수주 3조원 돌파했구요.이는 지난해 연간수주 금액 (5조4천억 원)의 60% 이상에 해당하는 규모입니다.생산역량 측면에서도 최근 가동된 5공장을 포함해 총 78만4천L를 확보, 기존 1위였던 론자(78만L)와 어깨를 나란히 하고 있습니다.다만 각광받는 차세대 치료제 기전(모달리티)인 항체·약물접합체(ADC)에서 아직까지 큰 성과를 못 내고 있습니다.삼성바이오는 그간 수주했던 품목은 대부분 항체치료제로, ADC 치료제로는 이렇다할 수주를 확보하지 못했기 때문입니다.ADC는 항체치료제보다 개발이나 생산에서 보다 고도화된 기술이 필요한데요.삼성바이오는 올해부터 ADC전용 시설을 가동한만큼 아직 경험과 노하우가 부족한 실정입니다.반면 론자나 우시바이오는 일찍이 관련 고객사를 확보해 생산 레코드를 늘리고 있구요.삼성바이오는 ADC의 위탁생산(CMO) 뿐만 아니라 위탁개발(CDO)까지 아우르는 서비스를 내세워 신규 고객사를 확보한다는 계획입니다.이서후기자 after@wowtv.co.kr",https://www.hankyung.com/article/2025060928265,2025.06.09 15:00
"""창동차량기지, 한국판 랩센트럴로 만들 것""","'직주근접 도시' 내건 오승록 서울 노원구청장

노원역·창동역 낀 '노른자 땅' 
바이오·메디컬 창업허브 탈바꿈
선제적 입주할 국내외 기업접촉 

노원아트뮤지엄서 잭슨폴록展
베드타운 넘어 문화도시로 변신","13일 서울 노원구 상계동 창동차량기지와 도봉운전면허시험장 모습. 총 25만㎡에 달하는 이곳에는 미국 보스턴 랩센트럴과 비슷한 바이오·메디컬 클러스터가 조성될 전망이다.  이솔 기자

                “창동차량기지를 미국 보스턴 ‘랩센트럴’과 같은 바이오·메디컬 허브로 만들겠습니다.”오승록 서울 노원구청장(사진)은 13일 한국경제신문과의 인터뷰에서 “그동안 서울의 ‘베드타운’으로 기능해온 노원구를 앞으로 직주근접의 자족도시로 탈바꿈시키겠다”며 이같이 말했다. 랩센트럴은 매사추세츠공대(MIT), 하버드대, 보스턴대 등 인근 대학에서 개발한 기술이 상용화될 수 있도록 돕는 세계적인 바이오 창업 클러스터다. 세계 최초로 코로나19 바이러스 백신을 만든 모더나를 배출한 것으로도 잘 알려져 있다. ◇옛 창동차량기지가 ‘바이오 허브’로





                축구장 23개(17만9578㎡) 규모인 창동차량기지 부지는 지하철 4호선 노원역·창동역을 끼고 있는 서울 동북권의 핵심 노른자위 땅으로 손꼽힌다. 창동차량기지가 지하철 4호선 연장과 함께 경기 남양주시 진접으로 이전해 내년 2월을 목표로 새 차량기지 공사가 진행 중이다. 이전 작업이 완료되는 대로 기존 시설물 철거와 함께 선도기업 협약, 실시계획고시, 토지 공급 등 후속 절차를 밟을 예정이다. 창동차량기지 바로 옆에 있는 도봉운전면허시험장(6만7420㎡)도 의정부시 장암동으로 옮겨 간 뒤 함께 바이오·메디컬 복합단지로 개발된다.오 구청장은 일찌감치 입주 기업 물색에 나섰다. 오 구청장은 “삼성바이오로직스, 셀트리온 등 대기업은 서울시가, 나머지 중소 바이오 기업은 노원구가 맡아 접촉하고 있다”며 “모더나와 같은 해외 바이오 기업 한 곳만 들어와도 사업에 확 속도가 붙을 것”이라고 기대했다.그는 이미 잘 갖춰져 있는 주거 및 교육 인프라를 최대 강점으로 꼽았다. 오 구청장은 “요즘 젊은 연구원들이 경기도조차 가지 않으려고 한다는 얘기가 많다”며 “노원구는 상대적으로 주거 비용이 저렴하고 중계동 학원가 등 교육 인프라가 잘돼 있어 청년 인재를 잡길 원하는 기업들에 메리트가 적지 않을 것”이라고 말했다.다만 준공 30년을 넘긴 노후 단지가 73곳(8만3000가구)에 달하는 등 재건축을 통한 주거 환경 개선이 필요하다고 했다. 오 구청장은 “창동차량기지 사업에 맞춰 인근 아파트 단지들이 재건축에 나설 수 있도록 용도지역 상향 등 사업성을 높이는 방안을 추진하고 있다”고 전했다. ◇“노후 베드타운 아닌 힐링·문화도시”오 구청장은 기존 ‘노후 베드타운’ 이미지를 바꾸기 위한 키워드로 문화를 제시했다. 그가 2020년 설립한 노원문화재단이 대표적이다. 재단이 매년 주최하는 ‘경춘선 공릉숲길 커피 축제’와 ‘수제맥주 축제’는 지난해 각각 4만3000여 명, 8만여 명이 다녀가는 ‘초대박’을 터뜨렸다. ‘당현천 벚꽃음악회’ ‘수락산 선셋 음악회’ ‘경춘선 가을음악회’ 등 3대 음악회도 지역민에게 사랑받는 콘텐츠로 꼽힌다. 올해 새로 단장한 노원문화예술회관과 노원아트뮤지엄에선 소프라노 조수미 공연과 ‘뉴욕의 거장들: 잭슨 폴록과 마크 로스코의 친구들’ 미술전 등 수준 높은 문화 행사가 열리고 있다. 암벽·집라인 등을 탈 수 있는 실내 이색 레포츠 체험시설 ‘점프’, 작은 기차마을을 볼 수 있는 ‘노원 기차마을 이탈리아관’ 등 이색 명소도 개관을 앞두고 있다. 오 구청장은 “수준 높은 문화 콘텐츠를 즐기기 위해 지역민뿐만 아니라 외지인이 몰려들면서 노원구의 이미지가 ‘힐링·문화 도시’로 조금씩 바뀌고 있는 것 같다”고 했다.오 구청장은 남은 임기 동안 노원의 성장 기반을 구축하는 데 집중하겠다는 각오를 다졌다. 그는 “창동차량기지 개발이 진행되는 향후 5년이 노원구가 명품도시로 도약하는 골든타임이 될 것”이라며 “임기를 다하는 그날까지 이를 위한 초석을 하나라도 더 놓겠다”고 다짐했다.오유림 기자 our@hankyung.com",https://www.hankyung.com/article/2025051304491,2025.05.13 17:52
"코스피, 美 증시 훈풍에도 하락세…방산株 동반 강세","고리 1호기 해체 승인 소식에 
원전 해체 관련株 동반 '급등'","사진=연합뉴스

                코스피지수가 27일 장중 소폭 하락세를 보이고 있다. 간밤 미국 증시가 도널드 트럼프 행정부의 상호관세 유예 기대감에 강세로 마감했음에도 외국인 투자자의 순매도세가 지수를 끌어내리고 있다.이날 오전 11시1분 현재 코스피지수는 전 거래일보다 10.26포인트(0.33%) 내린 3069.3을 나타내고 있다. 지수는 이날 0.05% 내림세로 출발 후 보합권에서 등락을 거듭하다 오전 9시48분께를 기점으로 하락세를 이어가고 있다.이날 새벽 미국 증시는 중동 지역의 지정학적 위험이 완화되고 백악관이 관세 협상 기한 연장을 시사하자 강세로 마쳤다. 지난 26일(현지시간) 다우존스30산업지수는 0.94% 올랐고 S&P500지수와 나스닥종합지수도 각각 0.8%와 0.97% 상승했다.다만 국내 증시에서는 외국인의 순매도 물량이 나오면서 지수가 하락세다. 유가증권시장에서 외국인이 4046억원 매도 우위인 반면 개인과 기관은 각각 2462억원 1411억원 매수 우위다.코스피 시가총액 상위 종목 중 SK하이닉스, 삼성바이오로직스, LG에너지솔루션, 현대차, 네이버, 기아, 셀트리온 등이 내리는 반면 삼성전자, KB금융, 두산에너빌리티, HD현대중공업 등이 오르고 있다.방산주는 북대서양조약기구(NATO·나토)의 방위비 증액 소식과 중동 분쟁 재점화 가능성에 동반 강세다. 한화에어로스페이스(3.08%)를 비롯해 풍산(3.73%) 현대로템(3.97%) LIG넥스원(3.63%) 한화시스템(1.02%) 등이 일제히 오르고 있다. 카카오페이는 이달에만 두 번째인 매매거래 정지가 해제된 첫날 15% 넘게 빠지고 있다.같은 시각 코스닥지수는 전 거래일보다 2.35포인트(0.3%) 내린 785.6을 나타내고 있다. 지수는 이날 0.25% 상승 출발했으나 보합권에서 등락을 거듭하다 오전 9시44분께를 기점으로 하락세를 이어가고 있다.코스닥시장에서도 외국인이 928억원 매도 우위인 반면 개인과 기관은 각각 939억원과 125억원 매수 우위다.코스닥 시총 상위 종목 중 에코프로비엠, 에코프로, 파마리서치, 펩트론, 휴젤, 클래시스 등이 내리는 반면 알테오젠, HLB, 레인보우로보틱스, 리가켐바이오, 리노공업, 삼천당제약 등이 오르고 있다.국내 최초 원자력발전소인 부산 기장 고리 원자력발전소 1호기 해체가 승인되면서 위드텍(29.06%)을 비롯해 비츠로테크(19.88%) 원일티엔아이(10.63%) 오르비텍(5.45%) 우진엔텍(4.92%) 등 원전 해체 관련주가 동반 급등세다. 이날 서울 외환시장에서 원·달러 환율은 전장보다 0.9원 내린 1356원으로 개장했다.고정삼 한경닷컴 기자 jsk@hankyung.com",https://www.hankyung.com/article/2025062739286,2025.06.27 11:20
"22일, 거래소 외국인 순매도상위에 전기,전자 업종 6종목",,"외국인 투자자는 22일 거래소에서 삼성전자, SK하이닉스, HD현대일렉트릭 등을 중점적으로 매도한 것으로 나타났다.외국인 투자자의 순매도 상위 20개 종목은 삼성전자, SK하이닉스, HD현대일렉트릭, 한미반도체, 한화솔루션, 기아, 현대차, 신한지주, 대한항공, 삼성SDI등이다.이중에 전기,전자 업종에 속한 종목이 6개 포함되어 있다.한화솔루션, 셀트리온, 전진건설로봇 등은 전일 대비 주가가 상승했고, 삼성전자, SK하이닉스, HD현대일렉트릭 등은 주가가 하락했다.[04월22일]거래소 외국인 순매도 상위 종목한경로보뉴스이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.",https://www.hankyung.com/article/202504228757L,2025.04.22 18:35
"코스피, 장 초반 방향성 없는 흐름…하닉, 호실적에도 약보합",,"전날인 23일 서울 중구 하나은행 본점 딜링룸 전광판. /사진=뉴스1

                코스피지수가 보합권에서 출발했다.한국거래소에 따르면 24일 오전 9시10분 현재 전날보다 0.26포인트(0.01%) 내린 2525.3에 거래되고 있다. 지수는 전날 대비 0.22포인트(0.01%) 내린 2525.34에 개장해 방향성 없이 움직이고 있다.외국인과 기관이 각각 804억원, 387억원 매도 우위다. 개인만 1141억원 매수 우위다.한지영 키움증권 연구원은 ""오늘 국내 증시는 2거래일 연속 급등한 미국 증시에 힘을 받아 장중 긍정적인 주가 흐름을 보일 전망""이라고 짚었다.다만 개별 종목간 상승 동력(모멘텀)은 차별화할 것이라고 내다봤다. 이날 SK하이닉스, HD현대중공업, HD한국조선해양, 현대차, KB금융 등 주도주를 포함한 굵직한 기업들의 실적이 나왔거나 예정돼 있어서다.한 연구원은 ""이번 1분기 실적은 어차피 관세로 인해 선수요를 당긴 착시효과가 나올 것이기에, 1분기 실적은 큰 기대하지 말고 넘어가자는게 시장의 중론""이라면서도 ""2분기 이후 관세발 수요 공백이 우려 만큼은 크지 않을 것이라 보고 있다""고 말했다.SK하이닉스가 개장 직전 발표한 호실적에도 약보합세다. 주가는 0.44% 내린 18만200원에 거래 중이다.이날 SK하이닉스는 연결 기준 올해 1분기 영업이익이 7조4405억원으로 지난해 동기 대비 157.8% 증가한 것으로 잠정 집계됐다고 공시했다. 지난해 4분기에 이어 삼성전자의 전사 영업이익(6조6000억원)도 훌쩍 뛰어넘었다. 계절적 비수기에도 고부가 제품인 고대역폭 메모리(HBM) 5세대 HBM3E 12단의 판매 확대 등으로 시장 기대를 웃도는 '어닝 서프라이즈'(깜짝 실적)를 기록했다.SK하이닉스를 비롯한 유가증권시장 상위 5종목은 모두 약세다. 삼성바이오로직스(-1.69%)를 제외하면 낙폭은 모두 1% 미만이다. 같은시각 코스닥지수는 1.55포인트(0.21%) 상승한 727.63에 거래 중이다. 지수는 전날보다 0.87포인트(0.12%) 오른 726.95에 출발했다.개인이 369억원 매수 우위다. 외국인과 기관이 각각 244억원, 119억원 매도 우위다.코스닥시장 시총 상위주들도 1% 안팎의 변동률로 오르내리고 있다.서울 외환시장에서 원·달러 환율은 6.4원 오른 1427원에 출발했다.신민경 한경닷컴 기자 radio@hankyung.com",https://www.hankyung.com/article/2025042421436,2025.04.24 09:17
"'삼천피' 앞두고 중동發 리스크에 발목…코스피, 하락 전환 [영상]","트럼프 ""즉시 테헤란 떠나라"" 공습 예고","영상 모듈 닫기




                     '삼천피'를 눈앞에 뒀던 코스피지수가 중동발(發) 리스크 부각에 17일 장중 하락 전환했다.이날 오후 1시20분 현재 코스피지수는 전일 대비 0.16% 내린 2942.01을 기록 중이다. 2950선에서 상승 출발한 지수는 장중 한때 2998선까지 오르며 3000선 돌파를 시도했지만 이스라엘-이란 간 추가 공습 가능성에 상단이 제한되면서 지수를 끌어내렸다.
                    



사진=연합뉴스

                도널드 트럼프 미국 대통령은 이날 SNS 트루스소셜에 ""이란은 내가 서명하라고 했던 합의에 서명해야 했다. 이란은 하나의 핵무기도 가질 수 없다고 누차 말했다""며 ""모두 즉시 테헤란을 떠나라""고 썼다.앞서 이스라엘군은 이날 엑스(X·옛 트위터)에 ""이스라엘군은 최근 테헤란 전역에 걸쳐 그랬듯 앞으로 몇 시간 내로 테헤란 3구 지역에서 이란의 군사시설을 공격하는 작전을 펼 것""이라며 현지 주민 등에게 대피하라고 경고했다.이에 G7 정상회의를 계기로 열릴 전망이던 이재명 대통령과 트럼프 대통령 간 한미정상회담도 무산됐다.이 시각 유가증권시장에서 외국인과 기관이 각각 1713억원과 933억원 순매도 중이다. 개인은 2779억원 매수우위다. 코스피 시가총액 상위종목들은 등락이 엇갈리고 있다. 삼성전자와 SK하이닉스가 각각 2.45%와 1.01% 오르고 있는 반면 삼성바이오로직스, 한화에어로스페이스, KB금융은 내림세다.코스닥지수도 장중 하락 전환했다. 이 시각 현재 코스닥지수는 전일 대비 0.83% 내린 770.82를 기록 중이다.노정동 한경닷컴 기자 dong2@hankyung.com",https://www.hankyung.com/article/2025061704926,2025.06.17 13:28
