header,summary,content,url,datetime
내수·수출 동반 부진에…한국경제 ‘절대 수요 부족’ 경고,,"한국개발연구원(KDI)이 2025년 7월 경제동향을 발표했다. 최근 건설업 부진이 이어지는 가운데, 대외 여건도 악화하며 경기가 전월과 비슷한 수준에서 정체되고 있다. 이로 인해 소비·투자·건설이 동반 침체 양상을 띠고 있으며, 경기 회복의 뚜렷한 모멘텀도 보이지 않는다는 분석이다.특히 현대경제연구원은 2025년 한국 연간 경제성장률 전망치를 기존 1.7%에서 0.7%로 1.0%포인트나 하향 조정했다. 수정 전망의 주요 원인은 내수부진 장기화와 수출경기 둔화다. 고금리·고물가에 따른 소비심리 위축, 건설투자 침체가 민간 회복력을 약화시키고 있다. 수출환경 개선이 없이는 내수 회복 동력 확보도 어렵다는 점이 우려를 키운다.이처럼 내수와 수출 모두 뚜렷한 반등이 없는 상황에서 한국 경제는 당분간 ‘절대 수요 부족’ 국면을 벗어나기 어려울 것으로 보인다. KDI 등은 내수회복, 수출환경 개선, 정책 대응 없이는 상반기형 경기둔화가 장기화할 가능성을 경고했다.이에 따라 경제 정책 당국은 민간 소비와 투자 회복을 위한 적극적 재정․금융 지원, 건설·설비투자 활성화책 등에 보다 집중할 필요가 있다. 단지 인위적 경기 부양이 아닌, 내수와 수출을 동시 강화할 수 있는 전략적 대응이 중요한 시점이다.아우토크립트, SK하이닉스, 삼성전자, 두산에너빌리티, 한국전력무료상담",https://www.hankyung.com/article/202507158441a,2025.07.15 10:03
,,,https://magazine.hankyung.com/business/article/202507098412b,
[포토] K브랜드 대표 기업 한자리에…프리미엄브랜드지수 시상식,,"한국표준협회는 지난 11일 서울 소공동 롯데호텔에서 ‘2025 프리미엄 브랜드지수(KS-PBI) 1위’ 시상식을 열었다. 앞줄 왼쪽부터 김덕경 삼성서울병원 교수, 양홍걸 시원스쿨 대표, 김승곤 에몬스가구 부사장, 김도한 더케이예다함 대표, 김남용 형지엘리트 본부장, 김영훈 한국도미노피자 대표, 문동민 표준협회장, 김용철 가톨릭대 교수, 박용권 신한은행 본부장, 강원규 에쓰오일 토탈에너지스윤활유 부사장, 홍석기 LG전자 실장, 박해창 신한카드 그룹장, 최진욱 현대건설 팀장, 김종현 신한은행 실장.  한국표준협회 제공",https://www.hankyung.com/article/2025071352081,2025.07.13 18:07
"네이버, 차세대 격전 준비…""XR 콘텐츠 생태계 구축""","미디어 플랫폼 테크 포럼

웹, 모바일 변화 살아남은 저력
5년 전부터 차세대 플랫폼 대비
스트리밍 실험 통해 경험 쌓아

신형 XR 내놓는 삼성과 협업
""홀로그램 등 신기술도 개발 중""","네이버의 가상 콘텐츠 제작 스튜디오 비전·모션스테이지에서 광학식 슈트를 착용한 직원이 3차원(3D) 애니메이션 구현을 시연하고 있다. 스튜디오에 설치된 적외선 카메라와 슈트에 장착된 전자 센서가 손가락 움직임과 얼굴 표정까지 정밀하게 포착해 캐릭터를 실시간으로 만들어낸다. ﻿ /네이버 제공

                네이버가 확장현실(XR) 콘텐츠 시장에 본격 참전한다. 삼성전자가 연내 선보일 첫 XR 기기 ‘프로젝트 무한’에 담을 콘텐츠를 생산하는 것이 우선 목표다. 웹(컴퓨터)에서 모바일(스마트폰)로의 전환 과정에서 성공적으로 살아남은 네이버가 차세대 하드웨어 시장에서도 소프트웨어와 콘텐츠를 중심으로 생존력을 증명하려는 시도로 풀이된다.네이버는 경기 성남시 네이버 사옥에서 지난 16일 ‘이머시브 미디어 플랫폼 테크 포럼’을 열었다. 언론을 대상으로 XR 플랫폼 전략과 차세대 미디어 기술을 공개하기 위한 자리다. 17일 네이버 관계자는 “생성형 인공지능(AI)과 실시간 3차원(3D) 렌더링 기술을 기반으로 가상현실(VR), 증강현실(AR), 혼합현실(MR)을 아우르는 XR 콘텐츠 생태계를 구축하는 것이 최종 목표”라고 설명했다.





                스마트글라스와 VR 헤드셋으로 대표되는 XR 기기는 스마트폰을 잇는 새로운 하드웨어 플랫폼으로 부상하고 있다. 메타는 2019년 첫 VR 헤드셋 ‘퀘스트’를 출시했다. 당시 마크 저커버그 메타 최고경영자(CEO)는 VR 헤드셋을 ‘차세대 컴퓨팅 플랫폼’이라고 선언했다. 지난해 10월에는 AI 기능을 적용한 ‘퀘스트3S’를 선보였다.구글은 삼성전자, 젠틀몬스터와 협업해 안드로이드 기반 XR 기기를 내놓을 예정이다. 삼성은 구글, 퀄컴과 협업한 또 다른 XR 제품도 준비 중이다. 노태문 삼성전자 사장은 9일 뉴욕에서 열린 기자간담회에서 “연내 XR 헤드셋 출시를 목표로 완성도를 높이고 있다”고 밝혔다.네이버는 삼성의 신제품 출시에 발맞춰 XR 기반의 콘텐츠 플랫폼을 구축할 계획이다. 오한기 네이버 리얼타임 엔진 스튜디오 리더는 “네이버 스트리밍 플랫폼 ‘치지직’을 중심으로 다양한 콘텐츠를 제공할 것”이라며 “네이버가 보유한 고품질 콘텐츠가 원활히 구현될 수 있도록 현재 여러 글로벌 기업과 협업 방안을 논의하고 있다”고 말했다. XR 콘텐츠 시장엔 메타, 구글 등 하드웨어 제조사뿐만 아니라 유니티 같은 게임 엔진 개발사도 앞다퉈 뛰어들고 있다. 시장조사업체 포천비즈니스인사이트는 글로벌 XR 시장 규모가 2024년 1840억달러에서 2032년 1조6250억달러로 커질 것으로 전망했다.네이버는 영상 소비와 제작의 패러다임이 빠르게 바뀌고 있다는 판단 아래 새로운 방식의 콘텐츠 제작을 준비해왔다. 2020년부터 몰입형 미디어 기술 개발에 착수해 2022년 ‘이머시브 미디어 랩’을 설립했다. 지난 3월엔 XR 콘텐츠 제작 전용 스튜디오 ‘비전·모션 스테이지’를 선보였다. 이 같은 인프라 구축을 바탕으로 치지직의 다양한 창작자와 협업해 XR 콘텐츠 생태계를 만들어가고 있다.네이버 관계자는 “몰입형 오디오 등을 결합해 홀로그램처럼 실감 나는 콘텐츠 경험을 구현할 수 있도록 기술을 개발 중”이라고 말했다. 오 리더는 “실제 인물에서 가상 캐릭터로, 일방향 콘텐츠에서 상호 몰입형 콘텐츠로, 평면 영상에서 XR로 미디어 경험이 빠르게 진화하고 있다”고 덧붙였다.최영총 기자 youngchoi@hankyung.com",https://www.hankyung.com/article/2025071753581,2025.07.17 17:19
"22일, 거래소 외국인 순매도상위에 전기,전자 업종 5종목",,"외국인 투자자는 22일 거래소에서 두산에너빌리티, 삼성전자, 현대차 등을 중점적으로 매도한 것으로 나타났다.외국인 투자자의 순매도 상위 20개 종목은 두산에너빌리티, 삼성전자, 현대차, 현대로템, 삼성바이오로직스, 기아, POSCO홀딩스, 포스코퓨처엠, 롯데지주, LG이노텍등이다.이중에 전기,전자 업종에 속한 종목이 5개 포함되어 있다.삼성바이오로직스, 롯데지주, 에이피알 등은 전일 대비 주가가 상승했고, 두산에너빌리티, 삼성전자, 현대차 등은 주가가 하락했다.[07월22일]거래소 외국인 순매도 상위 종목한경로보뉴스이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.",https://www.hankyung.com/article/202507225345L,2025.07.22 18:35
자기자본 포함 4배 투자금을 DSR 무관으로 신청 당일 즉시?,,"투자자들 사이에서 ‘스탁론’에 대한 관심이 높아지고 있다. 스탁론은 자기자본 포함 최대 4배까지 활용 가능하며 증권사 신용/미수 대환 용도로도 활용 가능해 대표적인 레버리지 수단으로 자리잡은 상태다.그러나 DSR 한도가 스탁론에도 적용된 후 다른 대출, 소득 증빙 문제로 예전처럼 이용하기 어려워졌다. 이와 함께 높아진 금리도 스탁론 이용을 망설이게 만든 원인으로 꼽힌다.그러나 해결책은 있다. 21년 연속 스탁론 업계 1위를 지키고 있는 하이스탁론이 DSR 무관하게 이용할 수 있는 상품은 물론 연 4%대 최저금리로 이용 가능한 상품까지 취급하며 선택의 폭을 넓힌 것이다.




 

◆ 하이스탁론, 연 4%대 업계 최저금리로 추가 투자금은 물론 신용미수 대환까지!<하이스탁론>에서 누구나 부담 없이 스탁론을 경험할 수 있도록 연 4%대 최저금리 상품을 출시했다. 주식매입 용도는 물론 증권사 미수/신용 대환도 가능하며 신용등급 차등 없이 자기자본 포함 최대 4배까지 활용할 수 있다.이와 함께 DSR 한도 때문에 기존 스탁론 이용이 어려웠던 투자자들은 위한 DSR 무관 상품도 취급 중이다. 또한 장중 거래가 어려웠던 투자자를 위한 대체거래소(NXT) 거래도 가능해졌다.<하이스탁론>의 새로운 상품에 대해 자세히 알고 싶은 투자자는 고객상담센터(1599-0313)로 연락하면 대출 여부와 상관없이 24시간 언제든 전문상담원과 편리한 상담이 가능하다.○ 연 4%대 업계 최저금리 상품 출시○ 대체거래소(NXT) 거래 가능!○ 21년 연속 시장 점유율 1위, 16년 연속 대한민국퍼스트브랜드 대상○ 증권사 신용/미수 실시간 상환, 한종목 100% 집중 투자○ 믿을 수 있는 상담품질보증제※하이스탁론상담센터 : 1599-0313바로가기:https://www.hisl.co.kr/0313◆ 현 시각 관심종목 Top 10 : 삼성전자, HLB, 카카오, 한화오션, 포스코퓨처엠, 알테오젠, 코리아나, MDS테크, 클로봇, 싸이닉솔루션무료상담",https://www.hankyung.com/article/202507224399a,2025.07.23 09:30
"'슬림'해지더니 이정도일 줄은…""벽돌폰"" 갤럭시Z폴드의 반전","갤Z폴드·플립7 사전 판매 '6대 4'
갤Z폴드·플립5는 '3대 7' 비중
얇은 두께가 폴드 모델 인기 견인","모델이 서울 종로구 KT플라자에서 갤럭시 Z 폴드7·Z 플립7을 체험하고 있다. 사진=KT

삼성전자가 갤럭시Z 시리즈를 선보인 이래 처음으로 폴드 모델이 플립보다 높은 판매량을 기록하는 '역전' 현상이 일어났다. 좌우로 접고 펼쳐 대화면을 구현하는 폴드 모델은 위아래로 접고 펼쳐 콤팩트한 사이즈의 플립 모델보다 판매량이 뒤졌는데, 이번 갤럭시Z 7시리즈부터 두께가 확연히 얇아지면서 양상이 달라진 것이다.  22일 업계에 따르면 전체 사전 판매량 중 Z폴드7가 차지하는 비중이 갤럭시Z플립7보다 큰 것으로 집계됐다. SK텔레콤은 Z폴드7가 자사 공식 온라인몰 T 다이렉트샵을 통한 전체 사전 판매량 가운데 66%를 차지했다고 밝혔다. LG유플러스도 Z폴드7과 Z플립7이 약 6대 4 비중을 나타냈다고 했다. KT 사전 판매에서도 Z폴드7가 판매량 절반 이상을 차지했다.지난해까지만 해도 플립의 인기가 폴드를 앞섰다. 삼성전자에 따르면 Z폴드6와 Z플립6의 사전 판매 비중은 4대 6을 기록했다. Z폴드5, Z플립5는 3대 7이었다.폴드 시리즈의 최대 단점이었던 묵직한 두께를 해결하면서 선호도가 높아진 것으로 풀이된다. 기존 갤럭시Z 폴드 모델 두께는 투박한 느낌이 강해 '아재폰' 이미지가 있었다. 하지만 이번 Z폴드7은 두께를 8.9㎜로 줄이면서 바(Bar)형 스마트폰과 비슷한 수준이다. 펼쳤을 때는 4.2㎜에 불과하다.폴드 모델의 경우 남성 고객이 주를 이뤘다. SK텔레콤의 경우 Z폴드·플립7 시리즈 사전 구매자 60% 이상이 30~40대 고객으로 나타났다. 이 가운데 Z폴드7은 남성이 전체 사전 구매자의 약 83%를 차지했다. 반면 Z플립7은 여성 고객이 59%를 차지했다.색상은 두 제품 모두 블루 쉐도우가 인기를 끌었다. SK텔레콤 사전 판매에서는 제트블랙이 Z폴드·플립7 시리즈에서 가장 인기가 높았다.이동통신3사(SK텔레콤·KT·LG유플러스)는 이날부터 갤럭시Z폴드·플립7의 사전개통을 시작한다. 이통3사 모두 고객의 단말 부담을 줄이기 위한 제휴카드 할인이나 출고가 50% 보상 혜택을 준비했다. 특히 SK텔레콤이 10년 만에 시장 점유율 40%가 무너져 이통3사의 고객 유치 경쟁은 더 치열해질 것으로 전망된다.과학기술정보통신부가 발표한 '무선통신서비스 가입자 통계'에 따르면 지난 5월 기준 SK텔레콤의 가입자 수는 2213만8806명으로 전체 이동통신 가입자의 39.2%를 기록했다. 반면 KT는 1341만2662명(23.7%), LG유플러스는 1097만7531명(19.4%)의 가입자를 기록하면서 전달보다 점유율이 각각 0.3%포인트, 0.2%포인트 상승했다.박수빈 한경닷컴 기자 waterbean@hankyung.com",https://www.hankyung.com/article/202507223416g,2025.07.22 14:33
"""협력사 수리기사도 삼성전자서비스 직원""","12년 만에 '정규직 지위' 확정 
대법 ""직접고용 인정 원심 타당""","삼성전자서비스 협력업체에서 근무한 수리기사의 근로자 지위가 대법원에서 확정됐다. 원청인 삼성전자서비스의 지휘·감독 아래 일해온 만큼 직접 고용 의무가 있다는 판단이다. 2013년 1335명의 수리기사가 제기한 근로자 지위 확인 소송 가운데 유일하게 소송을 이어간 1명이 정규직 지위를 인정받으며 12년 만에 최종 승소 판결을 받았다.대법원 3부(주심 이숙연 대법관)는 수리기사 A씨가 삼성전자서비스를 상대로 제기한 근로자 지위 확인 소송에서 원고 일부 승소 판결한 원심을 지난달 12일 확정했다고 21일 밝혔다.A씨는 삼성전자서비스 협력업체 소속으로 2004년 6월부터 삼성전자 제품 수리를 담당했다. 2013년 A씨를 비롯한 1335명의 수리기사는 파견근로자보호 등에 관한 법률을 근거로 정규직 전환과 정규직과의 임금 차액 지급을 요구했다. 이들은 협력업체 소속이더라도 실질적으로는 삼성전자서비스의 지휘와 감독을 받으며 근무해와 묵시적 근로계약 관계가 성립됐다고 주장했다.1심은 원청인 삼성전자서비스의 책임을 인정하지 않았다. 하지만 2심은 수리기사들의 손을 들어줬다. 2심 재판부는 “수리기사들이 일을 시작한 2004년 6월부터 양자 간 파견 관계에 있었고, 파견 기간이 2년을 초과한 2006년 6월부터는 직접 고용된 것으로 봐야 한다”고 판단했다.대법원은 “원심에는 구 파견법상 직접고용 간주 규정에 관한 법리를 오해하는 등으로 판결에 영향을 미친 잘못이 없다”며 판결을 확정했다.황동진 기자 radhwang@hankyung.com",https://www.hankyung.com/article/2025072126781,2025.07.21 17:48
"中에 밀린 LGD, 아이폰이 살린다…3분기 실적 반등 '기대'","LGD, 3분기 OLED 패널 출하량↑
애플향 OLED 패널 출하량 '증가'
중국 BOE 제치고 2위 역전 전망","아이폰16 시리즈. 사진=애플 제공

LG디스플레이 실적이 올 3분기에 들어서면서 개선될 것으로 전망됐다. 아이폰·아이패드 신제품 양산이 시작되면서 애플향 유기발광다이오드(OLED) 패널 출하량이 증가한다는 관측이다. 21일 시장조사업체 유비리서치에 따르면 애플의 신제품 아이폰17 시리즈와 아이패드 프로 모델이 이달 본격 양산에 돌입했다. 이에 따라 LG디스플레이의 3분기 OLED 패널 출하량도 직전 분기보다 대폭 증가할 것으로 예상된다. 2분기만 해도 LG디스플레이의 아이폰용 패널 출하 비중은 21.3%에 그쳤다. 22.7%를 차지한 중국 BOE에 처음으로 밀린 것이다. 이 기간 삼성디스플레이의 아이폰향 패널 출하량 점유율은 56%로 선두를 달렸다. LG디스플레이는 애플에만 중소형 OLED 패널을 공급하고 있다. 주력 제품은 아이폰 프로 제품군에 적용되는 LTPO 패널이다. 이 패널은 BOE가 공급하는 일반 아이폰용 LTPS 패널보다 단가가 높다. 이 때문에 출하량 기준으로는 BOE보다 점유율이 낮았지만 매출만 놓고 보면 여전히 LG디스플레이가 큰 폭으로 우위를 점하고 있다. LG디스플레이는 3분기 아이폰용 패널 출하량이 약 1850만대를 기록할 것으로 보인다. 직전 분기보다 70% 늘어나는 셈이다. 4분기엔 2500만대 이상으로 예상된다. 아이패드용 패널 출하량도 3분기 반등이 시작될 전망이다. 지난해 높은 세트 가격 영향으로 판매량이 저조했던 아이패드 프로 시리즈 신규 모델이 이달 생산되면서 패널 출하량도 2분기보다 2배 늘어난 160만대를 기록할 것으로 보인다. 3분기 애플향 패널 출하량 점유율은 삼성전자 53.3%, LG디스플레이 30.3%, BOE 16.4%로 전망된다.한창욱 유비리서치 부사장은 ""아이폰17 시리즈와 함께 아이패드 프로 신규 OLED 모델도 이달부터 양산에 돌입하고 있어 LG디스플레이 실적이 3분기부터 뚜렷한 반등세를 보일 것""이라며 ""올해 연간 기준으로는 LG디스플레이가 전체 아이폰용 OLED 패널 출하량에서 30% 이상의 점유율을 기록할 것으로 예상된다""고 했다.김대영 한경닷컴 기자 kdy@hankyung.com",https://www.hankyung.com/article/202507211054g,2025.07.21 09:57
이자 폭탄 막자! 증권사 신용대출 3%대 전환으로 절약하는 법,,"전송종목 : 신세계, 농심, 세방전지, 롯데지주, 코스모신소재최근 주식 투자자들 사이에서 주식대출(미수/신용융자 등)의 고금리에 대한 부담이 커지고 있다.특히 저금리를 적용 받고 싶어도, 기존 대출을 상환하고 다시 주식을 매수해야 하는 번거로운 절차와 자금 조달의 어려움이 발목을 잡고 있다.이런 현실적인 문제를 해결하고자, 무빙스탁이 ‘증권사 신용, 대환자금대출’ 서비스를 전격 출시했다.이 상품은 주식을 매도하지 않고도, 기존의 고금리의 주식대출(미수/신용융자 등)의 3%대의 혁신적인 저금리 증권사로 전환할 수 있도록 상환자금을 제공하는 것이 핵심이다.무빙스탁 관계자는 “현재 증권사 이벤트 금리는 연 3%대 수준으로, 기존 9~10%대 고금리를 적용받는 투자자라면 절감 효과가 상당하다”며, 금리를 5%만 낮추면 “1억원 신용대출 기준으로 연간 약 500만원, 3억원이라면 1,500만원까지도 절약할 수 있다”고 밝혔다.더 놀라운 점은, 현재는 이벤트 기간으로 대환자금대출 신청시 발생하는 이자 비용까지 ‘0원’이라는 사실이다. 대환자금에 대해서 하루의 대출이자도 부담하지 않고 기존 고금리 대출을 저금리로 전환할 수 있어, 고금리 부담에 시달리던 투자자들에게 큰 호응을 얻을 전망이다.이 서비스는 부동산 시장에서 흔히 이용되던 대환대출 개념을 증권시장에 도입한 혁신적인 시도로, 주식 투자자들의 자금 운용에 새로운 대안을 제시할 것으로 기대된다.무빙스탁 ‘증권사 신용, 대환자금대출’의 비용 무료 이벤트는 이벤트 기간 동안 한정적으로 제공되는 만큼, 신용융자를 이용 중인 투자자라면 지금 바로 확인해볼 필요가 있다.★ 장마감 시간이 가까워질수록 문의가 많아 상담이 지연될 수 있습니다.★ 7월 문의하신 고객들이 많이 보유하신 종목으로는 삼성전자, POSCO홀딩스, 셀트리온, 포스코퓨처엠, 에코프로비엠, NAVER, 에코프로, 삼성SDI, LG화학, SK하이닉스, 두산에너빌리티, 카카오, SK이노베이션, LG에너지솔루션, 엘앤에프, 삼천당제약, 현대차, 알테오젠, HPSP, LG전자 등이 있습니다.★ 안내사항과도한 빚은 당신에게 큰 불행을 안겨줄 수 있습니다. 대출 시 신용등급 하락으로 다른 금융거래가 제약받을 수 있습니다. 중개수수료를 요구하거나 받는 것은 불법입니다.상호명: ㈜단비대부 2021-서울영등포-2102(대부업) | TEL: 1544-4886 | 대출금리: 연 20%이내(연체금리는 약정금리+3%p이내, 최대 연 20%이내) | 단, 2021. 7. 7.부터 신규체결, 갱신, 연장되는 계약에 한함 | 채무의 조기상환 조건 및 부대비용 없음. (단, 신용조회비용 및 담보권설정비용 있음), 이자 외 별도로 중개수수료를 요구하거나 수취하는 것은 불법입니다. | 대표이사: 박동원 | 사업자등록번호: 274-86-00231 | 등록기관명칭: 서울 영등포구청(담당부서: 일자리경제과, 02-2670-3420) | 소재지 : 서울 영등포구 여의대방로67길 11, 5층 517호 | 개인정보관리자메일: help@danbifund.co.kr무료상담",https://www.hankyung.com/article/202507186000a,2025.07.18 11:38
