header,summary,content,url,datetime
"코스피, 개인 매수세 상승출발…SK하이닉스 3%대 강세",,"사진=뉴스1

                코스피가 개인 매수에 힘입어 상승출발했다. 미·중 무역 협상에 대한 기대감으로 반도체주와 자동차주가 강세를 보이는 중이다.11일 오전 9시5분 현재 코스피는 전일 대비 13.25포인트(0.46%) 오른 2885.10에 거래되고 있다.개인이 유가증권시장에서 618억원어치 주식을 순매수하며 지수 상승을 이끌고 있다. 외국인의 현물주식 매수 규모는 15억원에 불과하지만, 코스피200선물은 819억원어치를 쓸어 담고 있다. 반면 기관은 현물주식을 586억우너어치 순매도 중이다.시가총액 상위 종목들은 혼조세다.삼성전자와 SK하이닉스는 각각 1.18%와 3.15% 상승 중이다. 간밤 뉴욕증시에서 필라델피아반도체지수가 2% 넘게 오른 영향이다. 반도체 섹터는 미·중 무역협상에서 미국이 중국에 대한 판매 제한 제재를 완화할 가능성이 점쳐지면서 투자심리가 개선됐다.LG에너지솔루션은 2.08% 오르고 있다.현대차와 기아도 각각 1.78%와 1.8% 상승 중이다. 자동차주는 대표적인 미국의 관세 정책 피해주였다.한화에어로스페이스는 2.35% 하락하고 있다. HD현대중공업도 1.52% 내리는 중이다.KB금융도 1.98% 빠지고 있다.삼성바이오로직스는 약보합세이지만, 셀트리온은 0.92% 하락하고 있다.코스닥은 전일 대비 4.98포인트(0.65%) 오른 776.18에거래되고 있다. 이 시장에서는 개인이 476억원어치 주식을 사는 반면, 외국인과 기관은 각각 187억원어치와 276억원어치를 팔고 있다.코스닥 시가총액 상위 종목들은 대체로 상승세다.에코프로비엠이 3.8% 상승해 가장 두드러진다. 에코프로는 1.81% 오르고 있다.알테오젠(1.4%), HLB(0.57%), 파마리서치(1.15%), 펩트론(1.87%), 휴젤(0.96%) 등도 바이오주들도 강세다.서울외환시장에서 원·달러 환율은 전일 대비 3.2원(0.23%) 내린 달러당 1364.8원에 거래되고 있다.뉴욕증시에서 주요지수는 등락을 거듭하다가 결국 상승 마감했다. 영국 런던에서 이틀째 진행 중인 미국과 중국의 무역협상의 결과가 아직 나오지 않았지만, 협상에 대한 하워드 러트닉 미구 상무부 장관의 긍정적인 발언이 증시를 들어 올렸다. 10일(현지시간) 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전일 대비 105.11포인트(0.25%) 오른 42,866.87에, 스탠더드앤드푸어스(S&P)500지수는 32.93포인트(0.55%) 상승한 6,038.81에, 나스닥종합지수는 123.75포인트(0.63%) 오른 19,714.99에 각각 거래를 마쳤다.한경우 한경닷컴 기자 case@hankyung.com",https://www.hankyung.com/article/2025061170186,2025.06.11 09:15
합리적 투자 필수! 증권사 신용대출 3%대 전환으로 이자 절감,,"전송종목 : 사조동아원, 대덕, 남선알미늄, 서흥, 아남전자최근 주식 투자자들 사이에서 주식대출(미수/신용융자 등)의 고금리에 대한 부담이 커지고 있다.특히 저금리를 적용 받고 싶어도, 기존 대출을 상환하고 다시 주식을 매수해야 하는 번거로운 절차와 자금 조달의 어려움이 발목을 잡고 있다.이런 현실적인 문제를 해결하고자, 무빙스탁이 ‘증권사 신용, 대환자금대출’ 서비스를 전격 출시했다.이 상품은 주식을 매도하지 않고도, 기존의 고금리의 주식대출(미수/신용융자 등)의 3%대의 혁신적인 저금리 증권사로 전환할 수 있도록 상환자금을 제공하는 것이 핵심이다.무빙스탁 관계자는 “현재 증권사 이벤트 금리는 연 3%대 수준으로, 기존 9~10%대 고금리를 적용받는 투자자라면 절감 효과가 상당하다”며, 금리를 5%만 낮추면 “1억원 신용대출 기준으로 연간 약 500만원, 3억원이라면 1,500만원까지도 절약할 수 있다”고 밝혔다.더 놀라운 점은, 현재는 이벤트 기간으로 대환자금대출 신청시 발생하는 이자 비용까지 ‘0원’이라는 사실이다. 대환자금에 대해서 하루의 대출이자도 부담하지 않고 기존 고금리 대출을 저금리로 전환할 수 있어, 고금리 부담에 시달리던 투자자들에게 큰 호응을 얻을 전망이다.이 서비스는 부동산 시장에서 흔히 이용되던 대환대출 개념을 증권시장에 도입한 혁신적인 시도로, 주식 투자자들의 자금 운용에 새로운 대안을 제시할 것으로 기대된다.무빙스탁 ‘증권사 신용, 대환자금대출’의 비용 무료 이벤트는 이벤트 기간 동안 한정적으로 제공되는 만큼, 신용융자를 이용 중인 투자자라면 지금 바로 확인해볼 필요가 있다.★ 장마감 시간이 가까워질수록 문의가 많아 상담이 지연될 수 있습니다.★ 7월 문의하신 고객들이 많이 보유하신 종목으로는 삼성전자, POSCO홀딩스, 셀트리온, 포스코퓨처엠, 에코프로비엠, NAVER, 에코프로, 삼성SDI, LG화학, SK하이닉스, 두산에너빌리티, 카카오, SK이노베이션, LG에너지솔루션, 엘앤에프, 삼천당제약, 현대차, 알테오젠, HPSP, LG전자 등이 있습니다.★ 안내사항과도한 빚은 당신에게 큰 불행을 안겨줄 수 있습니다. 대출 시 신용등급 하락으로 다른 금융거래가 제약받을 수 있습니다. 중개수수료를 요구하거나 받는 것은 불법입니다.상호명: ㈜단비대부 2021-서울영등포-2102(대부업) | TEL: 1544-4886 | 대출금리: 연 20%이내(연체금리는 약정금리+3%p이내, 최대 연 20%이내) | 단, 2021. 7. 7.부터 신규체결, 갱신, 연장되는 계약에 한함 | 채무의 조기상환 조건 및 부대비용 없음. (단, 신용조회비용 및 담보권설정비용 있음), 이자 외 별도로 중개수수료를 요구하거나 수취하는 것은 불법입니다. | 대표이사: 박동원 | 사업자등록번호: 274-86-00231 | 등록기관명칭: 서울 영등포구청(담당부서: 일자리경제과, 02-2670-3420) | 소재지 : 서울 영등포구 여의대방로67길 11, 5층 517호 | 개인정보관리자메일: help@danbifund.co.kr무료상담",https://www.hankyung.com/article/202507108871a,2025.07.10 09:43
"28일, 거래소 외국인 순매도상위에 운수장비 업종 5종목",,"외국인 투자자는 28일 거래소에서 한화에어로스페이스, 한국항공우주, 삼성물산 등을 중점적으로 매도한 것으로 나타났다.외국인 투자자의 순매도 상위 20개 종목은 한화에어로스페이스, 한국항공우주, 삼성물산, 한화오션, 셀트리온, SK텔레콤, 기아, KB금융, 달바글로벌, 삼성생명등이다.이중에 운수장비 업종에 속한 종목이 5개 포함되어 있다.삼성물산, 셀트리온, 기아 등은 전일 대비 주가가 상승했고, 한화에어로스페이스, 한국항공우주, 한화오션 등은 주가가 하락했다.[05월28일]거래소 외국인 순매도 상위 종목한경로보뉴스이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.",https://www.hankyung.com/article/202505282021L,2025.05.28 18:35
"글로벌 '빅4' 바이오 소부장, 韓 매출 60%↑","삼성바이오, 年 1조원대 구입 
국산화 7%뿐…그들만의 리그","삼성바이오로직스 덕분에 글로벌 바이오 소재·부품·장비 업체의 한국 시장 매출이 4년간 60.7% 급등했다. 이들 업체의 한국 매출은 중국 매출을 추월한 사례도 있는 것으로 나타났다.





                26일 한국평가데이터에 따르면 미국 써모피셔사이언티픽, 독일 머크·싸토리우스, 미국 싸이티바 등 글로벌 ‘빅4’ 바이오 소부장 기업의 지난해 한국법인 매출은 전년 대비 9.1% 증가한 1조6277억원이었다. 2020년 1조123억원을 기록한 이후 4년 만에 60.7% 증가했다. 빅4 가운데 매출 1위는 써모피셔로 5979억원을 기록했다. 바이오 분석·진단 장비 및 소모품과 시약 등을 제조하는 써모피셔는 항암제, 자가면역질환 치료제 등 바이오의약품 생산에 필요한 세포의 먹이인 배지 분야에서 국내 시장 선두다. 매출 2위 머크는 배양, 정제, 제품화 등 바이오의약품 생산 공정 중 정제에 필요한 필터 분야에서 국내 1위다. 2896억원의 매출을 기록한 싸이티바는 전년 대비 46.6%, 4년 전 대비 134.7%의 매출 증가율을 기록해 가장 빠르게 성장하고 있다. 싸이티바는 정제 과정에서 목표 단백질을 추출하는 데 쓰이는 배지 분야에서 국내 선두다.빅4의 급성장은 국산화율이 7%에 불과한 빈약한 국내 바이오 소부장 시장 여건과 삼성바이오로직스의 수주 영향이 복합적으로 작용한 결과다. 산업통상자원부에 따르면 글로벌 바이오 소부장 시장은 연평균 10.3% 성장해 2029년 96조5000억원에 달할 전망이다. 업계에 따르면 빅4 한국법인 매출의 80%가량은 삼성바이오로직스에서 나온다. 나머지 20%는 셀트리온 SK바이오사이언스 등에서 비롯된다.삼성바이오로직스는 지난해 위탁개발생산(CDMO) 사업과 바이오의약품 개발 및 상업화에 필요한 레진 필터 등 원재료 구입에만 1조1150억원을 썼다. 지난해 매출(4조5473억원)의 24.5%에 달한다. 삼성바이오로직스 공시에 따르면 원재료 매입처는 싸이티바 싱가포르, 씨그마알드리치코리아, 써모피셔사이언티픽솔루션스, 머크, 싸토리우스코리아바이오텍 등이다. 국내 기업은 거의 없다. 매출의 4분의 1 가량을 외국계 기업이 차지하고 있다는 얘기다.업계 관계자는 “삼성이 반도체사업을 일으키며 관련 국내 소부장 생태계를 키웠듯, 국가 대표 CDMO업체로서 바이오 소부장 생태계 조성에도 힘을 써야 한다”고 지적했다. 삼성바이오로직스는 글로벌 고객사 눈높이에 맞춰 해외 소부장 업체 제품을 사용할 수밖에 없다는 입장이다. 회사 관계자는 “국내 소부장 업체와의 협력 강화도 지속적으로 검토하며 중장기적 목표로 추진하고 있다”고 했다.안대규 기자 powerzanic@hankyung.com",https://www.hankyung.com/article/2025052665521,2025.05.26 17:22
"코스피, 美 증시 훈풍에도 하락세…방산株 동반 강세","고리 1호기 해체 승인 소식에 
원전 해체 관련株 동반 '급등'","사진=연합뉴스

                코스피지수가 27일 장중 소폭 하락세를 보이고 있다. 간밤 미국 증시가 도널드 트럼프 행정부의 상호관세 유예 기대감에 강세로 마감했음에도 외국인 투자자의 순매도세가 지수를 끌어내리고 있다.이날 오전 11시1분 현재 코스피지수는 전 거래일보다 10.26포인트(0.33%) 내린 3069.3을 나타내고 있다. 지수는 이날 0.05% 내림세로 출발 후 보합권에서 등락을 거듭하다 오전 9시48분께를 기점으로 하락세를 이어가고 있다.이날 새벽 미국 증시는 중동 지역의 지정학적 위험이 완화되고 백악관이 관세 협상 기한 연장을 시사하자 강세로 마쳤다. 지난 26일(현지시간) 다우존스30산업지수는 0.94% 올랐고 S&P500지수와 나스닥종합지수도 각각 0.8%와 0.97% 상승했다.다만 국내 증시에서는 외국인의 순매도 물량이 나오면서 지수가 하락세다. 유가증권시장에서 외국인이 4046억원 매도 우위인 반면 개인과 기관은 각각 2462억원 1411억원 매수 우위다.코스피 시가총액 상위 종목 중 SK하이닉스, 삼성바이오로직스, LG에너지솔루션, 현대차, 네이버, 기아, 셀트리온 등이 내리는 반면 삼성전자, KB금융, 두산에너빌리티, HD현대중공업 등이 오르고 있다.방산주는 북대서양조약기구(NATO·나토)의 방위비 증액 소식과 중동 분쟁 재점화 가능성에 동반 강세다. 한화에어로스페이스(3.08%)를 비롯해 풍산(3.73%) 현대로템(3.97%) LIG넥스원(3.63%) 한화시스템(1.02%) 등이 일제히 오르고 있다. 카카오페이는 이달에만 두 번째인 매매거래 정지가 해제된 첫날 15% 넘게 빠지고 있다.같은 시각 코스닥지수는 전 거래일보다 2.35포인트(0.3%) 내린 785.6을 나타내고 있다. 지수는 이날 0.25% 상승 출발했으나 보합권에서 등락을 거듭하다 오전 9시44분께를 기점으로 하락세를 이어가고 있다.코스닥시장에서도 외국인이 928억원 매도 우위인 반면 개인과 기관은 각각 939억원과 125억원 매수 우위다.코스닥 시총 상위 종목 중 에코프로비엠, 에코프로, 파마리서치, 펩트론, 휴젤, 클래시스 등이 내리는 반면 알테오젠, HLB, 레인보우로보틱스, 리가켐바이오, 리노공업, 삼천당제약 등이 오르고 있다.국내 최초 원자력발전소인 부산 기장 고리 원자력발전소 1호기 해체가 승인되면서 위드텍(29.06%)을 비롯해 비츠로테크(19.88%) 원일티엔아이(10.63%) 오르비텍(5.45%) 우진엔텍(4.92%) 등 원전 해체 관련주가 동반 급등세다. 이날 서울 외환시장에서 원·달러 환율은 전장보다 0.9원 내린 1356원으로 개장했다.고정삼 한경닷컴 기자 jsk@hankyung.com",https://www.hankyung.com/article/2025062739286,2025.06.27 11:20
"코스피, 대내외 훈풍에 3100선 안착 시도…외인·기관 '사자'","李, 탈플라스틱 로드맵 연내 마련 소식에
삼륭물산·에코플라스틱 등 관련株 '급등'","사진=연합뉴스

                코스피지수가 3일 외국인과 기관투자자의 쌍끌이 매수에 힘입어 강세 흐름을 이어가고 있다. 미국과 베트남 간 무역 합의에 더해 상법 개정안 처리 기대가 긍정적 투자심리를 형성한 것으로 풀이된다.이날 오전 10시59분 현재 코스피지수는 전 거래일보다 22.84포인트(0.74%) 오른 3097.9를 나타내고 있다. 장중 1.17%까지 상승폭을 확대해 3100선을 회복하기도 했다.간밤 미국 증시에서도 S&P500지수가 0.47% 올라 사상 최고가를 경신했고 나스닥종합지수도 0.94% 상승하는 등 긍정적 흐름이 관찰됐다. 미국이 베트남과 무역 협상을 타결하자 관세 불확실성이 일부 줄어든 데 따른 영향으로 풀이된다.유가증권시장에서 외국인과 기관이 각각 2694억원과 1563억원어치를 사들이며 지수 상승을 이끌고 있다. 반면 개인만 4566억원어치를 팔아치우고 있다.코스피 시가총액 상위 종목 중 삼성전자, LG에너지솔루션, 삼성바이오로직스, KB금융, 두산에너빌리티, 네이버, 한화에어로스페이스 등이 오르는 반면 SK하이닉스, 기아, 셀트리온, HD현대중공업 등이 내리고 있다.같은 시각 코스닥지수는 전 거래일보다 8.27포인트(1.06%) 오른 790.44를 나타내고 있다. 코스닥시장에서도 외국인과 기관이 각각 452억원과 117억원어치를 사들이는 반면 개인이 530억원어치를 팔아치우고 있다.코스닥 시총 상위 종목 중 에코프로비엠, 에코프로, 파마리서치, 리가켐바이오, 휴젤, 펩트론, 클래시스, 리노공업 등이 오르는 반면 알테오젠, HLB 등은 내리고 있다.이재명 대통령이 이날 탈플라스틱 로드맵을 올해 안에 마련하겠다고 밝히자 상한가를 달성한 삼륭물산을 비롯해 에코플라스틱(18.93%) 세림B&G(12.47%) 한국팩키지(11.25%) 등 관련주가 급등세다. 고정삼 한경닷컴 기자 jsk@hankyung.com",https://www.hankyung.com/article/2025070357706,2025.07.03 11:14
美서 '바이오 큰장'…한국기업들 총출동,"이달 16일 '바이오 USA' 개막
코오롱·에이비엘 등 수출 모색","한국 바이오기업이 이달 개막하는 ‘2025 바이오 인터내셔널컨벤션(바이오 USA)’에 총출동한다. 세계 최대 바이오 전시회인 이 행사에서 신약 기술력을 대대적으로 선보일 예정이다.11일 업계에 따르면 오는 16일부터 19일까지 미국 보스턴에서 열리는 바이오 USA에는 총 550여 개 한국 기업이 참가한다. 바이오 USA는 세계 90여 개국에서 9000개 이상 기업과 2만 명이 넘는 참가자가 모이는 행사다. 바이오 기업들이 기술 이전, 투자 유치 등 실질적 성과를 도출하는 자리다.바이오 USA에선 주로 삼성바이오로직스와 셀트리온 등 국내 위탁개발생산(CDMO) 업체들이 두각을 드러내왔다. 올해는 신약 기술력을 입증하기 위해 나선 국내 기업이 유독 많다. 코오롱생명과학은 신경병증성 통증 유전자 치료제 ‘KLS-2031’과 항암 유전자 치료제 ‘KLS-3021’을 선보이고 글로벌 제약사들과 기술 수출 협의를 진행할 예정이라고 밝혔다.인공지능(AI) 기반 신약 개발 전문 기업 파로스아이바이오도 차세대 급성 골수성 백혈병(AML) 치료제 ‘PHI-101’과 난치성 고형암 치료제 ‘PHI-501’의 연구 성과를 글로벌 기업과 공유할 계획이다.이미 신약 기술력을 인증받은 에이비엘바이오도 참가해 추가적인 파트너십 기회를 모색한다. 에이비엘바이오는 지난 4월 글락소스미스클라인(GSK)과 최대 4조1000억원 규모 기술 이전 계약을 맺었다. 국산 항암제로는 처음으로 미국 식품의약국(FDA)에서 허가받은 ‘렉라자’를 제조한 유한양행과 비만치료제를 개발 중인 한미약품은 별도 부스 없이 실무진을 파견한다. 이를 통해 글로벌 기업들과 비즈니스 미팅을 할 예정이다.황주리 한국바이오협회 교류협력본부장은 “글로벌 제약사들이 한국 기업의 신약 기술력을 눈여겨보고 있어 올해가 특히 중요한 행사가 될 것”이라고 전망했다.오현아 기자 5hyun@hankyung.com",https://www.hankyung.com/article/2025061187691,2025.06.11 17:29
이자 폭탄 막자! 증권사 신용대출 3%대 전환으로 절약하는 법,,"전송종목 : 신세계, 농심, 세방전지, 롯데지주, 코스모신소재최근 주식 투자자들 사이에서 주식대출(미수/신용융자 등)의 고금리에 대한 부담이 커지고 있다.특히 저금리를 적용 받고 싶어도, 기존 대출을 상환하고 다시 주식을 매수해야 하는 번거로운 절차와 자금 조달의 어려움이 발목을 잡고 있다.이런 현실적인 문제를 해결하고자, 무빙스탁이 ‘증권사 신용, 대환자금대출’ 서비스를 전격 출시했다.이 상품은 주식을 매도하지 않고도, 기존의 고금리의 주식대출(미수/신용융자 등)의 3%대의 혁신적인 저금리 증권사로 전환할 수 있도록 상환자금을 제공하는 것이 핵심이다.무빙스탁 관계자는 “현재 증권사 이벤트 금리는 연 3%대 수준으로, 기존 9~10%대 고금리를 적용받는 투자자라면 절감 효과가 상당하다”며, 금리를 5%만 낮추면 “1억원 신용대출 기준으로 연간 약 500만원, 3억원이라면 1,500만원까지도 절약할 수 있다”고 밝혔다.더 놀라운 점은, 현재는 이벤트 기간으로 대환자금대출 신청시 발생하는 이자 비용까지 ‘0원’이라는 사실이다. 대환자금에 대해서 하루의 대출이자도 부담하지 않고 기존 고금리 대출을 저금리로 전환할 수 있어, 고금리 부담에 시달리던 투자자들에게 큰 호응을 얻을 전망이다.이 서비스는 부동산 시장에서 흔히 이용되던 대환대출 개념을 증권시장에 도입한 혁신적인 시도로, 주식 투자자들의 자금 운용에 새로운 대안을 제시할 것으로 기대된다.무빙스탁 ‘증권사 신용, 대환자금대출’의 비용 무료 이벤트는 이벤트 기간 동안 한정적으로 제공되는 만큼, 신용융자를 이용 중인 투자자라면 지금 바로 확인해볼 필요가 있다.★ 장마감 시간이 가까워질수록 문의가 많아 상담이 지연될 수 있습니다.★ 7월 문의하신 고객들이 많이 보유하신 종목으로는 삼성전자, POSCO홀딩스, 셀트리온, 포스코퓨처엠, 에코프로비엠, NAVER, 에코프로, 삼성SDI, LG화학, SK하이닉스, 두산에너빌리티, 카카오, SK이노베이션, LG에너지솔루션, 엘앤에프, 삼천당제약, 현대차, 알테오젠, HPSP, LG전자 등이 있습니다.★ 안내사항과도한 빚은 당신에게 큰 불행을 안겨줄 수 있습니다. 대출 시 신용등급 하락으로 다른 금융거래가 제약받을 수 있습니다. 중개수수료를 요구하거나 받는 것은 불법입니다.상호명: ㈜단비대부 2021-서울영등포-2102(대부업) | TEL: 1544-4886 | 대출금리: 연 20%이내(연체금리는 약정금리+3%p이내, 최대 연 20%이내) | 단, 2021. 7. 7.부터 신규체결, 갱신, 연장되는 계약에 한함 | 채무의 조기상환 조건 및 부대비용 없음. (단, 신용조회비용 및 담보권설정비용 있음), 이자 외 별도로 중개수수료를 요구하거나 수취하는 것은 불법입니다. | 대표이사: 박동원 | 사업자등록번호: 274-86-00231 | 등록기관명칭: 서울 영등포구청(담당부서: 일자리경제과, 02-2670-3420) | 소재지 : 서울 영등포구 여의대방로67길 11, 5층 517호 | 개인정보관리자메일: help@danbifund.co.kr무료상담",https://www.hankyung.com/article/202507186000a,2025.07.18 11:38
실적·주주친화 정책에 셀트리온제약 상승세 탄력,,"최근 셀트리온제약 주가가 기관과 외국인 투자자의 매수세에 힘입어 반등에 속도를 내고 있다. 이는 실적 개선 기대와 주주가치 제고 전략이 맞물린 결과라는 평가다.우선, 셀트리온제약은 상반기 실적 발표에서 매출 및 영업이익 모두 전년 동기 대비 큰 폭의 증가세를 보이며 시장 기대치를 상회했다. 주요 신제품의 매출과 증설된 생산 능력이 실적 개선을 견인하면서, 투자자들의 수익성 기대가 높아졌다. 이에 따라 기관 투자자들은 매수 기회를 적극적으로 활용하고 있으며, 외국인 자금 역시 다시 유입되는 흐름을 보이고 있다.이와 함께 회사는 대규모 자사주 매입을 통해 주주환원에 나서고 있다. 올해 들어 여러 차례에 걸쳐 수천억 원 규모의 자사주를 매입했으며, 최근에는 임원과 대주주까지 동참하는 등 강력한 주가 안정 의지를 표명했다. 이 같은 조치는 주가 하단을 지지하고, 투자자 신뢰 회복에도 긍정적 신호로 작용하고 있다.시장은 또 미국의 고관세 및 규제 리스크에도 불구하고, 셀트리온제약이 선제적으로 대응하고 있다는 점도 긍정 요인으로 보고 있다. 회사는 미국 내 생산능력 확대와 재고비축 등에 나서며 의약품 수출 불확실성에 대비하고 있다. 이는 글로벌 시장에서의 안정적인 성장 기반이 여전히 유지되고 있음을 시사한다.한편, 일부 투자자는 공매도 세력 증가 우려를 제기하지만, 자사주 매입과 실적 모멘텀이 이를 상쇄할 수준이라고 평가한다. 시장 전문가들은 “실적과 주주친화 정책이 동시 효과를 낼 경우 중장기 투자 관점에서 주가 회복 가능성이 확대된다”고 분석한다.삼성전자, 두산에너빌리티, 한화솔루션, SK하이닉스, 셀트리온무료상담",https://www.hankyung.com/article/202507210894a,2025.07.21 09:53
이자 부담 최소화! 증권사 신용대출 3%대로 바꾸는 절호의 기회,,"전송종목 : 한독, 삼익악기, 신일전자, 한국쉘석유, 디아이최근 주식 투자자들 사이에서 주식대출(미수/신용융자 등)의 고금리에 대한 부담이 커지고 있다.특히 저금리를 적용 받고 싶어도, 기존 대출을 상환하고 다시 주식을 매수해야 하는 번거로운 절차와 자금 조달의 어려움이 발목을 잡고 있다.이런 현실적인 문제를 해결하고자, 무빙스탁이 ‘증권사 신용, 대환자금대출’ 서비스를 전격 출시했다.이 상품은 주식을 매도하지 않고도, 기존의 고금리의 주식대출(미수/신용융자 등)의 3%대의 혁신적인 저금리 증권사로 전환할 수 있도록 상환자금을 제공하는 것이 핵심이다.무빙스탁 관계자는 “현재 증권사 이벤트 금리는 연 3%대 수준으로, 기존 9~10%대 고금리를 적용받는 투자자라면 절감 효과가 상당하다”며, 금리를 5%만 낮추면 “1억원 신용대출 기준으로 연간 약 500만원, 3억원이라면 1,500만원까지도 절약할 수 있다”고 밝혔다.더 놀라운 점은, 현재는 이벤트 기간으로 대환자금대출 신청시 발생하는 이자 비용까지 ‘0원’이라는 사실이다. 대환자금에 대해서 하루의 대출이자도 부담하지 않고 기존 고금리 대출을 저금리로 전환할 수 있어, 고금리 부담에 시달리던 투자자들에게 큰 호응을 얻을 전망이다.이 서비스는 부동산 시장에서 흔히 이용되던 대환대출 개념을 증권시장에 도입한 혁신적인 시도로, 주식 투자자들의 자금 운용에 새로운 대안을 제시할 것으로 기대된다.무빙스탁 ‘증권사 신용, 대환자금대출’의 비용 무료 이벤트는 이벤트 기간 동안 한정적으로 제공되는 만큼, 신용융자를 이용 중인 투자자라면 지금 바로 확인해볼 필요가 있다.★ 장마감 시간이 가까워질수록 문의가 많아 상담이 지연될 수 있습니다.★ 7월 문의하신 고객들이 많이 보유하신 종목으로는 삼성전자, POSCO홀딩스, 셀트리온, 포스코퓨처엠, 에코프로비엠, NAVER, 에코프로, 삼성SDI, LG화학, SK하이닉스, 두산에너빌리티, 카카오, SK이노베이션, LG에너지솔루션, 엘앤에프, 삼천당제약, 현대차, 알테오젠, HPSP, LG전자 등이 있습니다.★ 안내사항과도한 빚은 당신에게 큰 불행을 안겨줄 수 있습니다. 대출 시 신용등급 하락으로 다른 금융거래가 제약받을 수 있습니다. 중개수수료를 요구하거나 받는 것은 불법입니다.상호명: ㈜단비대부 2021-서울영등포-2102(대부업) | TEL: 1544-4886 | 대출금리: 연 20%이내(연체금리는 약정금리+3%p이내, 최대 연 20%이내) | 단, 2021. 7. 7.부터 신규체결, 갱신, 연장되는 계약에 한함 | 채무의 조기상환 조건 및 부대비용 없음. (단, 신용조회비용 및 담보권설정비용 있음), 이자 외 별도로 중개수수료를 요구하거나 수취하는 것은 불법입니다. | 대표이사: 박동원 | 사업자등록번호: 274-86-00231 | 등록기관명칭: 서울 영등포구청(담당부서: 일자리경제과, 02-2670-3420) | 소재지 : 서울 영등포구 여의대방로67길 11, 5층 517호 | 개인정보관리자메일: help@danbifund.co.kr무료상담",https://www.hankyung.com/article/202507096262a,2025.07.09 11:38
