,kind,header,summary,content,url
0,외환시장,관세전쟁에 얻어맞은 원화…또 글로벌 금융위기 이후 '최고' [한경 외환시장 워치],요약 없음,"사진=AFP

                미국과 중국의 관세전쟁이 격화할 조짐을 보이면서 원·달러 환율이 상승(원화 가치는 하락)했다. 미국의 상호관세 부과와 중국의 보복관세 발표에 이어 도널드 트럼프 미국 대통령이 재보복을 시사하면서 환율이 글로벌 금융위기 이후 약 16년만에 최고치를 다시 갈아치웠다.8일 서울 외환시장에서 원·달러 환율(오후 3시30분 기준)은 전날보다 5원40전 오른 1473원20전에 주간 거래를 마쳤다. 이는 지난 2009년 3월13일(1483원50전) 이후 가장 높은 수준이다. 지난달 31일 기록한 비상계엄 이후 최고치(1472원50전)도 다시 경신했다. 이날 환율은 달러당 1471원에 개장했다가 장중 1466원30전까지 떨어지기도 했지만 오후께 반등해 3시 무렵에는 1473원90전까지 오르기도 했다.환율이 오른 것은 미국과 중국의 관세갈등이 격화되고 있어서다. 트럼프 대통령은 간밤 중국이 상호관세와 같은 세율(34%)로 부과하겠다고 발표한 보복관세를 철회하지 않으면, 오는 9일 50% 추가 관세를 부과할 것이라고 경고했다.이날 중국 인민은행은 위안화 환율을 달러당 7.2038위안(약 1452원)으로 고시했다. 전날(7.1980위안)에 비해 위안화 가치를 더 낮춘 것으로, 통화 약세를 겨냥한 트럼프 대통령의 지적과 반대로 간 것이다. 중국 상무부는 트럼프 대통령이 추과 관세를 부과하면 반격 조치를 다시 취하겠다고 밝히기도 했다.미국은 트럼프 대통령의 예고대로 지난 5일 세계 모든 국가를 상대로 10% 기본관세를 발효했고, 국가별로 차등을 둔 상호관세는 오는 9일부터 시행할 계획이다. 미국을 비롯한 전 세계 경기 침체 가능성이 점쳐지며 원화를 비롯한 위험 자산 회피 심리가 잦아들지 않고 있다.민경원 우리은행 이코노미스트는 ""트럼프 대통령이 중국 외 국가와 추가 협상 가능성을 열어놨지만 불확실성이 여전히 크다""며 ""위험 회피 심리가 금융시장에 만연해 위험통화인 원화의 약세도 계속될 것""이라고 설명했다.이날 오후 3시 30분 기준 원·엔 재정환율은 100엔당 998원68전이었다. 전날 같은 시간 1008원21전보다 9원53전 하락하면서 하루만에 1000원 밑으로 내려왔다. 엔·달러 환율은 1.31% 오른 달러당 147.5엔이었다.강진규 기자 josep@hankyung.com",https://www.hankyung.com/article/202504088044i
1,외환시장,주간 원·달러 환율 67원 오르내려,거래시간 연장후 변동폭 최대,도널드 트럼프 미국 대통령의 관세 정책 여파로 외환시장이 요동치고 있다. 전문가들은 당분간 시장 변동성이 지속될 것으로 예상했다.13일 서울외환시장에 따르면 지난 11일 원·달러 환율은 전주 대비 40원 내린 1421원에 야간 거래를 마쳤다. 이는 비상계엄 직후인 지난해 12월 5일(1417원30전) 후 약 넉 달 만에 가장 낮은 수준이다. 트럼프 대통령의 관세 정책에 따라 환율이 롤러코스터를 타면서 지난주 한 주간 변동 폭은 67원60전에 달했다. 서울외환시장 거래 시간이 오전 2시까지 연장된 지난해 7월 후 최대 폭이다.원·달러 환율은 미국의 무차별 상호관세 정책에 대한 우려로 7일(37원90전)과 8일(11원20전) 내내 상승하다가 상호관세가 발효된 9일 1487원대를 돌파하며 전 고점을 뛰어넘었다. 하지만 트럼프 대통령이 중국을 제외한 나머지 국가에는 상호관세 부과를 90일 미루겠다고 밝히자 방향을 틀었다.남정민 기자 peux@hankyung.com,https://www.hankyung.com/article/2025041383271
2,외환시장,원·달러 환율 5년 만에 최대 폭 상승…100엔당 1000원 돌파 [한경 외환시장 워치],"달러당 환율, 33.7원 상승
코로나19 이후 최대 폭

尹 파면 후 급락 하루만에 제자리","사진=연합뉴스

                원·달러 환율이 5년 만에 최대 폭으로 상승(원화 가치는 하락)했다. 미국의 상호관세 부과에 이어 중국의 보복관세가 발표되면서 글로벌 관세전쟁이 본격화할 것이란 우려가 나오면서다. 안전자산을 찾는 수요가 엔화로 몰리면서 원·엔 환율은 100엔당 1000원 위로 치솟았다. 7일 서울 외환시장에서 원·달러 환율(오후 3시30분 기준)은 전거래일보다 33원70전 오른 1467원80전에 주간 거래를 마쳤다. 지난 4일 윤석열 대통령 파면 후 정치적 불확실성 해소 등을 반영해 1430원대로 32원90전 급락했던 환율이 하루만에 제자리로 돌아갔다. 이날 하루 상승 폭(33원70전)은 코로나19 기간인 지난 2020년 3월 19일(40원) 이후 5년여만에 가장 컸다.  이날 환율은 27원90전 뛴 1462원에 출발해 장중 1471원50전까지 올랐다. 미국의 상호관세 부과 직후인 지난 4일 중국이 미국산 제품에 34%의 보복 관세를 부과하기로 결정하면서 무역전쟁이 격화될 조짐을 보이자 위험자산 회피 심리가 커지면서 원화가 직격탄을 맞았다.  이민혁 KB국민은행 연구원은 ""중국의 대미국 보복 관세에서 비롯된 통상환경 불확실성에 원화 약세 압력이 높아지고 있다""며 ""무역전쟁이 글로벌 경기침체로 이어질 수 있다는 불안감이 안전자산 선호 심리를 자극하고 있다""고 분석했다. 위재현 NH선물 이코노미스트는 ""이달 외국인들이 지급받은 배당금을 달러로 환전하는 움직임이 나타나면 환율이 더 오를 수 있다""고 전망했다. 또다른 안전자산인 엔화도 강세를 보이면서 원·엔 재정환율도 크게 뛰었다. 이날 오후 3시30분 기준 원·엔 환율은 100엔당 1008원21전으로 전거래일 같은 시간(981원82전)보다 26원39전 올랐다. 이는 지난 2022년 3월22일(1011원75전) 이후 가장 높은 수준이다.  당국의 경계감도 커지는 모습이다. 한국은행은 이날 오전 '비상대응 태스크포스'를 꾸리고 시장상황을 점검했다. 유상대 한은 부총재는 ""미 관세정책을 둘러싼 불확실성이 높고, 예상보다 장기화할 가능성이 있다""며 ""필요시 가용한 시장안정화 조치를 즉각 시행할 것""이라고 말했다. 강진규 기자 josep@hankyung.com",https://www.hankyung.com/article/202504075308i
3,외환시장,원화절상 압박 우려에…장중 원·달러 1360원대,"환율협상 소식에 6개월來 최저
사흘째 떨어져 1380원대 안착 
""당분간 하락 추세 지속될 것""","미국의 과도한 정부 부채에 대한 우려와 미국이 한국에 원화 가치 절상을 요구할 것이란 관측이 함께 확산하면서 원·달러 환율이 사흘 연속 하락했다. 전문가들은 시장 변동성이 높아지는 가운데 당분간 환율 하락 추세가 지속될 것으로 내다봤다.





                22일 서울 외환시장에서 원·달러 환율은 5원90전 내린 1381원30전에 주간 거래를 마감했다. 주간 거래 종가 기준으로 지난해 11월 5일(1378원60전) 이후 약 6개월 만에 가장 낮은 수준이다.원화는 지난 주말 미국의 국가 신용등급 강등 소식이 전해진 후 이번주 들어 강세 기조가 나타나고 있다. 특히 전날 미국의 20년 만기 국채 입찰에서 해외 투자 수요가 급감한 것으로 나타나자 이날 아시아 주요국 통화들이 동반 강세를 보였다. 원화는 한·미 통상 협상에서 미국이 원화 절상을 요구하고 있다는 소식이 더해지며 하락 폭을 키웠다. 원·달러 환율은 전날 야간 거래에서 장중 한때 1368원90전을 찍기도 했다.다만 간밤에 이뤄진 미·일 간 환율 협상 결과로 방향을 바꿨다. 스콧 베선트 미국 재무장관은 21일(현지시간) 캐나다 밴프에서 가토 가쓰노부 일본 재무상과 양자 협상을 한 후 “환율은 시장이 정해야 한다”는 내용의 성명을 발표했다. 엔화 강세 또는 약세 등 방향성은 거론하지 않았다.위재현 NH선물 이코노미스트는 “아시아 통화는 현재 인위적인 달러 매도 개입을 통한 절상 압박을 가격에 반영하고 있다”며 “다만 미국 입장은 절상 압박이 아니라 아시아 통화의 인위적 절하 방지일 가능성이 크다”고 분석했다. 미국 정부의 원화 약세 요구 우려가 시장에 과도하게 반영돼 있다는 의미다.주요 6개국 통화 대비 달러 가치를 나타내는 달러인덱스는 전날 100선 밑으로 떨어진 뒤 이날 오후 3시30분 기준 99.57에 머무르고 있다. 달러 대비 엔화 환율은 143엔대, 위안화 환율은 7.2위안대에서 움직였다. 모두 전날보다 소폭 하락한 수준이다.전문가들은 당분간 환율 변동성이 높아질 것으로 예측하면서도 원·달러 환율 수준이 하향 안정될 가능성이 크다고 보고 있다. 민경원 우리은행 이코노미스트는 “글로벌 약달러와 환율 협상 경계심에 원·달러 환율이 1370원대 진입을 시도하고 있다”고 평가했다. 박수연 메리츠증권 애널리스트는 “올 3분기 환율은 1360~1460원 박스권이 예상된다”고 전망했다.좌동욱 기자 leftking@hankyung.com",https://www.hankyung.com/article/2025052203621
4,외환시장,"""머스크 빨리 복귀해야""…테슬라 낙관론자도 '손절'","'테슬라 낙관론자' 월가 애널리스트
테슬라 목표주가 42% 하향조정
""브랜드 손상 심각…정부 일 그만둬야""","사진=연합뉴스

                테슬라 실적 발표를 앞두고 '테슬라 낙관론자'로 잘 알려진 웨드부시 증권의 분석가 댄 아이브스가 “테슬라가 비상 상황”이라며 “머스크가 빨리 복귀해야 한다”고 강조했다. 그러면서 테슬라 목표주가를 42% 하향 조정했다.21일(현지시간) 아이브스는 보고서를 내고 “테슬라는 지금 코드 레드 상황”이라며 “머스크는 하루빨리 테슬라로 돌아와야 한다”고 말했다. 이어 ""머스크가 테슬라에 입힌 브랜드 손상은 심각하다""며 ""정부의 일을 그만두는 것만이 이를 만회할 수 있다""고 지적했다.그는 그러면서 투자 등급은 시장수익률 상회를 유지한 채 목표가를 기존의 550달러에서 315달러로 약 42% 낮춰 잡았다. 21일(현지시간) 현재 테슬라의 주가는 227달러다.일론 머스크는 테슬라 최고경영자(CEO)는 트럼프 2기 행정부에서 정부효율부(DOGE) 수장을 맡아 연방정부 인력 감축 등 대대적 개혁을 주도해 왔다. 이에 대한 반감이 커지면서 미국과 유럽을 중심으로 테슬라 불매 운동도 확산하고 있다.또 공식 석상에서 극우 정당인 '독일을 위한 대안'(AfD) 를 지지하는 행동 등으로 테슬라 불매 운동에 기름을 부었다. 일례로 이탈리아 로마 외곽의 한 테슬라 매장에서는 방화로 추정되는 화재가 발생해 차량 17대가 전소됐다. 미국에서는 테슬라 매장을 겨냥한 방화 사건이 잇따르자 미국 연방수사국(FBI)은 관련 태스크포스(TF)를 구성해 수사에 나선 상황이다.22일(현지시간) 예정돼 있는 테슬라의 실적 발표에서 머스크가 앞으로의 행보에 대해 밝힐지도 주목된다. CNN은 이날 ""테슬라의 실적 발표 및 일론 머스크와 투자자의 질의응답을 앞두고 머스크가 오도 가도 못하는 진퇴양난에 처했다""고 보도하기도 했다.박수림 한경닷컴 기자 paksr365@hankyung.com",https://www.hankyung.com/article/2025042276967
5,외환시장,"美, 환율 압박 나서나…아시아 통화 동반강세","커지는 외환시장 변동성

대만달러, 이틀간 9% 뛰어
역외 원·달러 한때 1350원대","미국 도널드 트럼프 행정부가 대만 정부에 통화 절상 압력을 넣고 있다는 관측이 확산하면서 대만달러화 가치가 이틀간 9% 넘게 급등했다. 미국 정부가 관세협상 과정에서 달러화 약세를 추진할 수 있다는 우려가 더해지면서 원화를 비롯한 아시아 통화 가치가 줄줄이 올랐다. 6일 외환당국에 따르면 지난 5일 대만 외환시장에서 미국 달러화 대비 대만달러 환율은 장중 한때 29.183대만달러까지 떨어졌다. 전 거래일 대비 통화 가치가 4.95% 올랐다. 전 거래일인 2일에도 대만달러 가치는 4.39% 절상됐다. 최근 2거래일간 대만달러 가치 절상폭(9.34%)은 30년 만에 가장 컸다.대만달러화 가치가 급등한 것은 대만 정부가 미국과의 무역 협상 차원에서 대만달러 강세를 용인할 것이라는 전망이 확산한 결과라는 해석이 나온다. 이에 따라 원화(5.45%), 위안화(8.33%), 엔화(1.63%) 등 아시아 통화 도 이틀간 동반 강세를 보였다. 원화는 대만 생명보험사들이 향후 달러화 약세 기조를 헤지하기 위해 역외 원화 차액결제선물환(NDF) 시장에서 달러 선물환을 매도한 결과 절상폭이 커졌다.블룸버그에 따르면 뉴욕 NDF 시장에서 원·달러 1개월물은 5일 한때 1357원81전까지 떨어졌다. 2일 새벽 야간 외환시장 거래 종가(1401원50전)보다 40원가량 낮은 수준이다.양진룽 대만 중앙은행 총재는 미국과 환율 협상 전망에 대해 5일 “환율은 미국과의 무역 협상 의제에 포함되지 않았다”고 공식 부인했다.이창용 한국은행 총재는 6일 밀라노 현지 기자간담회에서 아시아 통화 강세와 관련해 “미국이 개별 국가를 상대로 환율 얘기를 하고 있다고 알려진 데다 미·중 간 협상 타결 확률이 높아졌기 때문”이라며 “어느 순간 확 바뀌면 환율이 다시 오를 것”이라고 예상했다.뉴욕=박신영 특파원/정영효 기자 nyusos@hankyung.com",https://www.hankyung.com/article/2025050653161
6,외환시장,원화가치 5년 만에 최대폭 하락,"장중 달러당 1471원까지 치솟아
원·엔 100엔당 1000원 돌파",원·달러 환율이 5년 만에 최대폭으로 상승했다. 미국의 상호관세에 이어 중국의 보복관세가 발표되자 글로벌 관세전쟁이 본격화할 것이란 우려에 원화 가치가 하락하면서다. 원·엔 환율은 100엔당 1000원 위로 치솟았다.7일 서울외환시장에서 원·달러 환율(오후 3시30분 기준)은 전 거래일보다 33원70전 오른 1467원80전에 주간 거래를 마쳤다. 지난 4일 윤석열 대통령 파면 후 정치적 불확실성이 걷히며 1430원대로 급락한 환율이 하루 만에 제자리로 돌아갔다. 이날 하루 상승폭(33원70전)은 코로나19 기간인 2020년 3월 19일(40원) 후 5년여 만에 가장 컸다. 이날 환율은 27원90전 뛴 1462원에 출발해 장중 1471원50전까지 올랐다.이민혁 국민은행 연구원은 “무역전쟁 불안감이 안전자산 선호 심리를 자극하고 있다”고 분석했다. 위재현 NH선물 이코노미스트는 “이달 외국인들이 배당금을 달러로 환전하면 환율이 더 오를 수 있다”고 전망했다.안전자산인 엔화가 강세를 보이면서 원·엔 재정환율도 크게 뛰었다. 이날 오후 3시30분 기준 원·엔 환율은 100엔당 1008원21전으로 전 거래일(981원82전)보다 26원39전 올랐다. 2022년 3월 22일(1011원75전) 후 3년여 만에 가장 높은 수준이다.강진규 기자 josep@hankyung.com,https://www.hankyung.com/article/2025040760451
7,외환시장,트럼프 관세에 호주 증시도 '휘청'…장중 최대 6.5% 하락,"호주 10% 상호 관세
중국 보복 관세 영향","7일 시드니의 호주 증권거래소에서 주가가 표시된 게시판을 지나가던 보행자들이 창문에 비치고 있다. 사진=AFP

                도널드 트럼프 미국 대통령의 '상호관세 폭탄'에 따른 글로벌 무역전쟁 심화 우려 속에 호주 증시도 휘청거렸다.7일(현지시간) 호주 주식시장을 대표하는 S&P/ASX200 지수가 장중 최대 6.5% 하락했다. 코로나19 사태 충격으로 주식시장이 크게 타격받은 2020년 3월 이후 최대 낙폭이다. 미국 달러 대비 호주 달러 가치나 호주 국채 금리도 크게 떨어졌다.낮 12시30분 기준 S&P/ASX200 낙폭은 3.7% 수준으로 줄었지만, 금융시장에서는 호주중앙은행(RBA)이 경기 부양을 위해 금리를 빠르게 인하할 것으로 보고 있다.인터치 캐피탈 마켓의 시니어 애널리스트 션 캘로우는 ""미국 금리 하락과 침체 우려로 호주 달러가 쉽게 무너지지는 않겠지만 추가 하락 여지는 있다""며 ""호주 달러 가치가 0.58 미국 달러까지 떨어져도 놀랍지 않을 것""이라고 말했다.현재 외환 시장에서 1호주달러는 0.6 미국 달러 수준으로 거래되고 있다. 지난 2일 미국 정부는 호주산 수입품에 10%의 상호 관세를 부과했다. 다른 나라와 비교해 가장 낮은 수준이다.하지만 호주 경제가 중국 경제에 많은 영향을 받고 있어 34%의 보복 관세를 부과받은 중국 경제 둔화 우려로 호주 경제 전망도 악화하는 상황이다.이런 가운데 앤서니 앨버니지 호주 총리는 미국에 관세 협상 개시를 요청했다고 밝혔다. 앨버니지 총리는 ""트럼프 관세는 세계 무역과 세계 경제에 부정적 영향을 미치고 있으며 이는 우리 주식 시장에 큰 타격을 주고 있다""며 ""미국과 지속해 협의해 나갈 것""이라고 말했다.뉴질랜드 주식시장을 대표하는 S&P/NZX50 지수도 이날 최대 3.7% 하락했으며 오후 2시30분 기준 3% 내외의 낙폭을 이어가고 있다.박수빈 한경닷컴 기자 waterbean@hankyung.com",https://www.hankyung.com/article/2025040750287
8,외환시장,"원·달러 환율, 1369원 개장…7개월 만에 가장 낮아",요약 없음,"사진=연합뉴스

                원·달러 환율이 1369원에 거래를 시작했다. 약 7개월 만에 가장 낮은 수준이다.26일 서울 외환시장에서 원·달러 환율은 전 거래일 주간거래종가(1375.6원) 대비 6.6원 내린 1369원에 개장했다. 개장 기준 지난해 10월 17일(1364.5원) 이후 약 7개월 만에 가장 낮은 수치를 기록했다. 오전 9시45분 현재 환율은 1369.8원을 가리키고 있다.환율은 지난주 크게 떨어졌다. 달러 대비 원화 가치는 지난 23일 야간거래종가를 기준으로 한 주 새 2.45% 올라 절상폭이 주요국 중 두 번째로 컸다. 원화보다 더 절상된 통화는 스웨덴 크로나(2.51%) 뿐이다.관세 불확실성에 약달러 흐름이 당분간 이어질 것으로 예상된다. 위재현 NH선물 이코노미스트는 ""직전 거래일 미국의 EU 관세 부과 소식에 달러가 약세를 보였다""며 ""도널드 트럼프 미국 대통령은 EU와 협상 기간은 7월 9일로 연기한다고 밝혔다. 되돌림이 이어질 수 있지만, 최근 외환시장에 만연한 약달러 심리에 반등 여력이 제한될 수 있다""고 짚었다.이어 ""최근 달러화는 채권·주식 시장과 괴리됐음에도 약달러 심리가 여전하다""며 ""특히 원·달러 시장의 경우 국내 수급이 끝난 오후 3시 45분~4시 사이 외국계 은행과 대형 기관들의 포지션 조정에 따라 환율 하방 변동성이 확대되는 모습""이라고 설명했다.박상현 iM증권 연구원은 ""트럼프 대통령의 감세안이 하원을 통과하면서 감세안을 둘러싼 불확실성 해소됐다. 미국 국채 금리 안정화 여부가 달러화 움직임의 주요 변수""라며 ""미국 국채 금리와 더불어 초장기물을 중심으로 급등세가 이어지고 있는 일본 국채 금리의 추이도 주목해야 한다""고 말했다.박 연구원은 이번 주 개최되는 한국은행 금융통화위원회에서 기준금리가 인하될 것으로 봤다. 다만 금리 인하가 원·달러 환율에 미치는 영향은 제한적일 것으로 예상됐다.그는 ""엔화 추가 강세와 더불어 각종 관세 협상 뉴스 흐름이 원·달러 환율에 더욱 큰 영향을 미칠 것""이라며 ""이번 주 원·달러 환율 밴드는 1340~1400원으로 전망한다""고 말했다.진영기 한경닷컴 기자 young71@hankyung.com",https://www.hankyung.com/article/2025052651326
9,외환시장,이틀 만에 384조 날아갔다…엔비디아 개미들 '비명',"美, AI 전용 ‘H20’ 칩 중국 수출 제한
엔비디아 “추가 비용 55억달러 들 것”","젠슨 황 엔비디아 최고경영자(CEO)./사진=연합뉴스

                미국 정부의 새로운 인공지능(AI) 전용 칩 수출 규제로 엔비디아 주가가 이틀간 10% 정도 급락하면서 시가총액도 약 2700억달러(약 384조) 증발했다.17일(현지시간) 뉴욕증시에서 엔비디아는 2.93% 급락한 101.49달러로 거래를 마쳤다. 시총 역시 2조4760억달러로 줄었다. 전날에도 엔비디아는 6.87% 급락했다. 트럼프 행정부가 엔비디아 AI 전용칩의 대중 수출을 제한하고 있어서다. 미국 행정부는 그동안 중국을 대상으로 한 AI 칩 수출을 제한해 왔다. 이에 엔비디아는 중국 시장에 맞춘 ‘H20’ 칩을 개발해 수출해왔지만, 최근 미국 정부는 이 칩 역시 수출하려면 별도의 수출 허가를 받아야 한다고 통보했다. 엔비디아는 이로 인해 55억달러(약 7조8000억원)의 추가 비용이 들 것이라고 밝혔다.이같은 소식이 전해지자 엔비디아는 최근 들어 연일 급락을 거듭하고 있다. 이는 무역전쟁과 별도로 중국의 AI 굴기를 막기 위한 것으로 파악된다. 중국의 AI 업체 '딥시크'가 지난 1월 미국의 경쟁업체보다 더 적은 AI 전용칩을 사용하고도 미국 경쟁업체보다 더 우수한 챗봇을 만든 이후 미국은 엄청난 충격을 받았다. AI 업계의 '스푸트니크 쇼크'라는 평가가 나올 정도였다.딥시크 챗봇에 쓰인 AI 전용칩이 바로 엔비디아가 중국용으로 생산한 H20이다. 이후 중국 업체들이 대거 H20을 구매하고 있다. 중국의 AI 능력이 배가될 수 있다는 우려로 미국 정부는 관련 칩 수출을 더욱 옥죈 것으로 보인다.미국의 유명 투자은행 JP모건은 이날 보고서를 내고 트럼프 정부의 이번 조치로 엔비디아의 연간 매출과 주당 순익이 8%~10% 감소할 것이라고 내다봤다. 젠슨 황 엔비디아 최고경영자(CEO)는 미중 양국의 반도체 전쟁이 격화하자 베이징을 방문해 중국 지도부와 접촉하고 있는 것으로 알려졌다.박수림 한경닷컴 기자 paksr365@hankyung.com",https://www.hankyung.com/article/2025041805607
